elmo.2005 elmo.2008 elmo.2012 
0.00136067 NaN NaN 
0.00132725 NaN NaN 
0.00130689 NaN NaN 
0.00131723 NaN NaN 
0.00130406 NaN 0.00131463 
0.00131693 NaN 0.00129076 
0.00128238 NaN 0.00130046 
0.00127246 NaN 0.00133432 
0.00124436 NaN 0.00136627 
0.00120897 NaN 0.00139151 
0.00122157 NaN 0.00140386 
0.00129704 0.00130961 0.00141858 
0.00125852 0.00129685 0.00144084 
0.00123274 0.00125691 0.00148994 
0.00123412 0.00124402 0.00153878 
0.00124307 0.00127001 0.00154204 
0.00123359 0.00129079 0.00156057 
0.00116382 0.00132262 0.00154989 
0.00123568 0.001344 0.00152107 
0.00126546 0.00136933 0.00151639 
0.00127815 0.00137514 0.00150083 
0.00129731 0.0013743 0.00148078 
0.00130216 0.00139625 0.00148651 
0.00125518 0.00142922 0.00153337 
0.00124854 0.001483 0.00152343 
0.00125492 0.00149476 0.00156557 
0.00122996 0.00146618 0.00156928 
0.00120571 0.00141229 0.00160458 
0.00123466 0.00141133 0.00167062 
0.00126761 0.00148324 0.00170035 
0.00121168 0.00153946 0.00169844 
0.00126855 0.00154366 0.0017017 
0.0013728 0.00156722 0.00173602 
0.00144397 0.00159312 0.00176002 
0.00147818 0.0015999 0.00174026 
0.00151164 0.00160266 0.0017474 
0.00158566 0.00161687 0.00175978 
0.0015787 0.00161179 0.00171408 
0.00167162 0.00161667 0.0017147 
0.0017834 0.00166884 0.00168855 
0.00177391 0.00171398 0.00169023 
0.00175965 0.00171544 0.00166673 
0.00177032 0.00171467 0.00166436 
0.00176479 0.00169655 0.00170661 
0.00165188 0.00176894 0.00182007 
0.00150218 0.00183742 0.00177906 
0.00147193 0.00180083 0.00172477 
0.00145659 0.00178223 0.00165257 
0.00147273 0.00178361 0.00168417 
0.00154133 0.00180458 0.00174924 
0.00145219 0.00180552 0.00175366 
0.00140985 0.00178234 0.00179424 
0.00136725 0.00169905 0.00174556 
0.00134593 0.00162187 0.00169852 
0.00147145 0.00160357 0.00165376 
0.00159753 0.00161052 0.00161595 
0.00168819 0.00162948 0.0015875 
0.00159808 0.00169611 0.00157339 
0.00153215 0.00172212 0.00162419 
0.00148422 0.00174501 0.00161738 
0.0014204 0.00173306 0.00157429 
0.00141677 0.00170836 0.00157544 
0.00147977 0.00168533 0.00156669 
0.00153529 0.00163277 0.00156869 
0.00146946 0.0015794 0.00155586 
0.00148879 0.00151718 0.00151539 
0.00140206 0.00146052 0.0014717 
0.00139826 0.00143016 0.00144417 
0.0014015 0.00142069 0.00141153 
0.00139614 0.00139738 0.0014078 
0.00136425 0.00135301 0.00140321 
0.00127746 0.00131339 0.00137039 
0.00118309 0.00128592 0.00133006 
0.00118143 0.00126727 0.00130426 
0.00128426 0.00125989 0.00128447 
0.00122837 0.00124629 0.00126491 
0.00118055 0.00121289 0.00124302 
NaN 0.00119511 NaN 
NaN 0.00122921 NaN 
NaN 0.00123487 NaN 
NaN 0.00125609 NaN 
NaN 0.00126406 NaN 
