elmo.2005 elmo.2008 elmo.2012 
0.575563 NaN NaN 
0.532144 NaN NaN 
0.51523 NaN NaN 
0.548982 NaN NaN 
0.570885 NaN 0.185494 
0.509377 NaN 0.441691 
0.508255 NaN 0.487788 
0.419543 NaN 0.451348 
0.28626 NaN 0.411218 
0.219054 NaN 0.388939 
0.33757 NaN 0.43039 
0.496794 0.533477 0.492714 
0.399616 0.558651 0.516807 
0.312733 0.64503 0.497283 
0.296176 0.550203 0.633408 
0.338232 0.492377 0.615381 
0.385062 0.515423 0.630669 
0.26354 0.635299 0.636372 
0.320186 0.668591 0.602684 
0.322326 0.67343 0.523342 
0.288471 0.70601 0.379928 
0.286054 0.664424 0.438182 
0.414246 0.614944 0.571714 
0.346307 0.619674 0.624813 
0.349275 0.641313 0.721226 
0.502948 0.661432 0.734446 
0.79757 0.657761 0.760397 
0.967516 0.576284 0.778111 
0.87659 0.476591 0.702054 
0.739401 0.578406 0.329358 
0.959787 0.672344 0.520058 
0.923028 0.821516 0.536 
0.907601 0.790298 0.498348 
0.95275 0.80606 0.549343 
1.0242 0.888409 0.782681 
0.879355 0.927451 0.908154 
0.841167 0.875203 0.948889 
0.952911 0.780742 0.69163 
0.968603 0.779374 0.797066 
0.886477 0.872107 0.794032 
0.842643 0.975053 0.783165 
0.794217 0.757455 0.840601 
0.848203 0.722798 0.756741 
0.78712 0.864007 0.677244 
0.836276 0.650933 0.624703 
1.00948 0.636636 0.6975 
1.13972 0.758432 0.526183 
1.13917 0.863003 0.713576 
1.09503 0.932639 0.90017 
1.01323 0.991721 0.891687 
0.810497 0.953736 0.906888 
0.793446 0.880438 0.675145 
0.872802 0.875897 0.530328 
0.836812 0.872356 0.563917 
0.820901 0.792371 0.673514 
0.7976 0.73007 0.747283 
0.834279 0.590346 0.697071 
0.866396 0.531287 0.645244 
0.712275 0.385627 0.79548 
0.526295 0.557463 0.637066 
0.369897 0.683066 0.395467 
0.395114 0.911194 0.735062 
0.375727 0.860285 0.768773 
0.53042 0.790559 0.737692 
0.491283 0.725881 0.691997 
0.594244 0.596824 0.686992 
0.493711 0.482523 0.646032 
0.601515 0.500537 0.644985 
0.656379 0.579022 0.43616 
0.645438 0.446094 0.471504 
0.579359 0.313869 0.524588 
0.460172 0.476001 0.580132 
0.472411 0.505866 0.607298 
0.369739 0.296111 0.570645 
0.584078 0.628182 0.408302 
0.673683 0.653735 0.40553 
0.411251 0.502366 0.384946 
NaN 0.375491 NaN 
NaN 0.532728 NaN 
NaN 0.632322 NaN 
NaN 0.666865 NaN 
NaN 0.580692 NaN 
