elmo.2005 elmo.2008 elmo.2012 
0.00088127 NaN NaN 
0.000849736 NaN NaN 
0.000828719 NaN NaN 
0.000823755 NaN NaN 
0.000769416 NaN 0.00116104 
0.000809549 NaN 0.000970111 
0.000738521 NaN 0.000897251 
0.000777218 NaN 0.00087366 
0.000801116 NaN 0.000864022 
0.000761125 NaN 0.000855361 
0.000700399 NaN 0.000804766 
0.000751659 0.000823744 0.000751431 
0.000767091 0.000872933 0.000725256 
0.000791428 0.000829254 0.000807475 
0.000835956 0.000722719 0.000888837 
0.000854005 0.000859028 0.0008268 
0.000803253 0.000845456 0.000901842 
0.000668411 0.000760298 0.000947435 
0.00085453 0.00076154 0.000898686 
0.000904243 0.000809764 0.000938481 
0.000911852 0.000757925 0.00103067 
0.000955295 0.000735336 0.000953895 
0.000906515 0.000797845 0.000861784 
0.000909569 0.000761602 0.000867007 
0.000927665 0.000926128 0.000751055 
0.000842266 0.000928083 0.000778925 
0.000575453 0.000846621 0.000784983 
0.000425295 0.000778851 0.000815862 
0.000517091 0.000907697 0.00103831 
0.00063634 0.000883169 0.00183304 
0.000378741 0.000800205 0.00120763 
0.000456848 0.000804286 0.00111005 
0.000564144 0.000804485 0.00117994 
0.000561599 0.000729003 0.00109351 
0.000482036 0.000581047 0.000686145 
0.000615472 0.000500422 0.000583158 
0.000690413 0.000547899 0.000588537 
0.000545275 0.000593901 0.0010629 
0.000563748 0.000592539 0.000949088 
0.000736183 0.000601222 0.000876304 
0.000763667 0.000543665 0.000866434 
0.000817966 0.000775144 0.000720127 
0.000844711 0.000798526 0.000828859 
0.000930504 0.000675264 0.000955396 
0.000755509 0.000943129 0.0011102 
0.000404473 0.00110907 0.000992555 
0.000255865 0.000974425 0.00105087 
0.000260724 0.000802966 0.000842297 
0.000338167 0.000710152 0.000665862 
0.000496361 0.000579066 0.000743195 
0.000615359 0.000664166 0.000656817 
0.000630236 0.000750922 0.00119625 
0.000553329 0.000690296 0.00142864 
0.000576619 0.000632637 0.00128325 
0.000750417 0.000770623 0.000988775 
0.00092125 0.000932597 0.000758441 
0.000924921 0.000985164 0.000729433 
0.000725874 0.00103168 0.000685165 
0.000674704 0.000982287 0.000710544 
0.000681209 0.000982063 0.000861735 
0.00069096 0.00093936 0.000921897 
0.000749255 0.000867464 0.000811647 
0.000911262 0.000924763 0.000873153 
0.000888385 0.000866867 0.000896664 
0.000815766 0.000821893 0.000950666 
0.000882961 0.000817015 0.00090984 
0.00087843 0.000766297 0.000880942 
0.000820856 0.000784195 0.000832815 
0.000806844 0.000803713 0.00074857 
0.000826431 0.000800054 0.000830001 
0.000843876 0.000782299 0.000883107 
0.000807192 0.000727829 0.000824965 
0.000678349 0.000667801 0.000767067 
0.00078948 0.000642525 0.000767647 
0.000836495 0.000849762 0.000817146 
0.000664341 0.000747831 0.000755727 
0.000794819 0.000716921 0.000689827 
NaN 0.000759812 NaN 
NaN 0.00077093 NaN 
NaN 0.00076999 NaN 
NaN 0.000755422 NaN 
NaN 0.000806735 NaN 
