elmo.2005 elmo.2008 elmo.2012 
0.000815495 NaN NaN 
0.000802621 NaN NaN 
0.000792897 NaN NaN 
0.000789665 NaN NaN 
0.000774885 NaN 0.000865379 
0.00078948 NaN 0.000852444 
0.0007634 NaN 0.000851403 
0.00077234 NaN 0.000856753 
0.000780679 NaN 0.000862475 
0.000774304 NaN 0.000867379 
0.00076526 NaN 0.000868815 
0.000785123 0.000805132 0.00086338 
0.000786039 0.000809815 0.000859991 
0.000792801 0.000806211 0.000872191 
0.000801482 0.000803847 0.000883338 
0.000803271 0.000810207 0.000883888 
0.000791831 0.000810619 0.000895831 
0.00076816 0.000798803 0.000900317 
0.000824725 0.000798505 0.000913374 
0.000846021 0.000804069 0.000933248 
0.00085545 0.00080536 0.000932495 
0.000866996 0.000804336 0.000916078 
0.000848214 0.000808741 0.000895722 
0.000838026 0.000813097 0.000887173 
0.000830099 0.000836322 0.00087866 
0.000783597 0.000854164 0.00088721 
0.000670888 0.000859139 0.000871233 
0.000594208 0.00085161 0.000869876 
0.000610276 0.000853046 0.000890798 
0.000647482 0.000871873 0.00092302 
0.000577742 0.000860296 0.000919159 
0.000594974 0.000825389 0.000934593 
0.000628382 0.000830972 0.000970615 
0.000636745 0.000829879 0.000983071 
0.000628705 0.000821232 0.000924867 
0.000712993 0.000824161 0.000884188 
0.0007756 0.000843398 0.000881517 
0.000762579 0.000833002 0.000833945 
0.000829367 0.000812516 0.000817008 
0.000904913 0.000792268 0.000819762 
0.000896615 0.000759989 0.000823268 
0.000881517 0.000752858 0.000840184 
0.000829803 0.000770588 0.000857773 
0.000834911 0.0007667 0.000895548 
0.000774449 0.000819278 0.000972438 
0.000654604 0.000846227 0.000938549 
0.000579506 0.000814992 0.000903088 
0.000570394 0.000785214 0.000825601 
0.000592283 0.000749287 0.000808856 
0.000648767 0.000747137 0.000797666 
0.000694164 0.00075388 0.000797127 
0.000697408 0.000791918 0.00084469 
0.000661853 0.00079057 0.000862078 
0.000654249 0.000773304 0.00087902 
0.000699362 0.000773281 0.000871138 
0.000756528 0.000770932 0.00084701 
0.000782565 0.000791487 0.000824831 
0.000743569 0.00083589 0.000816584 
0.0007678 0.000880784 0.000852363 
0.000797068 0.00090174 0.000876704 
0.000786634 0.000896334 0.000884436 
0.000793509 0.000880205 0.000865278 
0.000878598 0.000885552 0.000856354 
0.000883393 0.000870869 0.000869444 
0.000855849 0.000858047 0.00087281 
0.00084135 0.000843433 0.000864004 
0.000829465 0.000835767 0.000855229 
0.000808632 0.00083128 0.000848207 
0.000799636 0.000830459 0.00084636 
0.000801657 0.000821587 0.000849108 
0.00080473 0.000808364 0.000853063 
0.000789639 0.00079961 0.000853446 
0.000747305 0.000794612 0.000852835 
0.000777406 0.000791952 0.00085439 
0.000791777 0.000800083 0.000855856 
0.000740941 0.000804912 0.000855833 
0.000774304 0.000798323 0.000853599 
NaN 0.000793003 NaN 
NaN 0.00080513 NaN 
NaN 0.000804015 NaN 
NaN 0.00080306 NaN 
NaN 0.000799969 NaN 
