elmo.2005 elmo.2008 elmo.2012 
0.3376 0.373419 NaN 
0.342377 0.385644 NaN 
0.347787 0.401418 NaN 
0.351938 0.418985 0.369024 
0.355843 0.421296 0.382191 
0.371037 0.443319 0.388702 
0.367495 0.471499 0.401005 
0.366915 0.476868 0.410746 
0.371363 0.479464 0.442974 
0.366616 0.456935 0.482989 
0.387267 0.439225 0.521466 
0.42252 0.422138 0.533494 
0.411016 0.400946 0.498088 
0.436022 0.395354 0.442545 
0.440596 0.402843 0.411437 
0.442314 0.413293 0.40293 
0.438244 0.432418 0.402599 
0.411401 0.446738 0.416067 
0.380758 0.479037 0.447196 
0.358455 0.548553 0.516655 
0.337819 0.6174 0.598803 
0.338617 0.625498 0.654478 
0.348179 0.631544 0.64299 
0.324164 0.634088 0.65024 
0.274087 0.654996 0.690941 
0.264084 0.643985 0.692641 
0.302383 0.633961 0.676841 
0.327734 0.655386 0.70831 
0.398346 0.665761 0.7205 
0.48258 0.661048 0.726264 
0.551491 0.65909 0.706988 
0.578183 0.640303 0.636512 
0.593469 0.600447 0.620433 
0.604075 0.545189 0.567394 
0.601343 0.496394 0.491798 
0.571232 0.466064 0.439264 
0.509636 0.457227 0.426947 
0.490383 0.430055 0.410756 
0.477036 0.413601 0.407454 
0.458373 0.411781 0.412201 
0.436207 0.418076 0.425508 
0.424186 0.441488 0.44835 
0.410118 0.459282 0.471137 
0.394438 0.452623 0.480795 
0.387338 0.445349 0.465909 
0.404256 0.434778 0.445182 
0.409229 0.415367 0.432231 
0.389571 0.393456 0.402569 
0.381221 0.378899 NaN 
0.400148 0.374453 NaN 
0.368187 0.359289 NaN 
0.3487 NaN NaN 
