elmo.2005 elmo.2008 elmo.2012 
NaN 0.00131257 NaN 
NaN 0.00128276 NaN 
NaN 0.00127853 NaN 
NaN 0.00128236 NaN 
0.00144943 0.00127788 NaN 
0.00144093 0.00128412 0.0011419 
0.00144395 0.00127837 0.00113842 
0.00139076 0.00125163 0.00113358 
0.0013418 0.00123321 0.00113254 
0.00129203 0.0012353 0.00112218 
0.00124065 0.00124065 0.00110585 
0.00123682 0.00123181 0.00109656 
0.001192 0.00121444 0.00109 
0.0011816 0.00118634 0.00108382 
0.00117306 0.00113907 0.00108703 
0.00116187 0.00111306 0.00108821 
0.00114012 0.00110138 0.00109031 
0.00114412 0.00110655 0.00109432 
0.00113871 0.00113501 0.00110291 
0.00114558 0.00117097 0.00113111 
0.0011656 0.00121123 0.00117178 
0.00121184 0.00124862 0.00123361 
0.0012792 0.00127442 0.00128755 
0.00136252 0.0013365 0.00137235 
0.00142309 0.00136907 0.00142169 
0.00145513 0.00134548 0.00142278 
0.00143006 0.00128374 0.00139946 
0.0013812 0.00124494 0.00132932 
0.0012815 0.00126483 0.00127502 
0.00124953 0.00130031 0.00128118 
0.00130816 0.00131161 0.00133311 
0.00138035 0.00130546 0.00136153 
0.00140624 0.0013104 0.00136411 
0.00137477 0.00130313 0.00136968 
0.00136969 0.00129879 0.00142169 
0.00138723 0.00131903 0.0014593 
0.00140936 0.00131391 0.00146098 
0.00137706 0.00125888 0.00142585 
0.0013075 0.00115903 0.00136602 
0.00120985 0.00106406 0.00136453 
0.00112108 0.00103032 0.00125258 
0.00108204 0.00102258 0.00115671 
0.00107118 0.000997192 0.00107405 
0.00105304 0.000992471 0.00102116 
0.00102526 NaN 0.000995261 
0.00100386 NaN 0.000980975 
