elmo.2005 elmo.2008 elmo.2012 
NaN 0.410838 NaN 
NaN 0.396648 NaN 
NaN 0.388562 NaN 
NaN 0.395117 NaN 
0.375749 0.400701 NaN 
0.382865 0.397819 0.365361 
0.380456 0.396461 0.364578 
0.393286 0.385748 0.359637 
0.395254 0.379046 0.356235 
0.387725 0.382276 0.351398 
0.373903 0.38271 0.343103 
0.363593 0.37259 0.337826 
0.361274 0.357001 0.337186 
0.358682 0.338964 0.333615 
0.351905 0.318638 0.32515 
0.340894 0.304214 0.315339 
0.332827 0.295654 0.30991 
0.335633 0.30694 0.311358 
0.345444 0.334453 0.315826 
0.348577 0.362096 0.329555 
0.353797 0.390242 0.35924 
0.379161 0.426005 0.409936 
0.411212 0.435955 0.450237 
0.460376 0.468331 0.513263 
0.52441 0.502224 0.567672 
0.561225 0.495708 0.582775 
0.548565 0.464404 0.580728 
0.531231 0.468526 0.55313 
0.510575 0.501693 0.535309 
0.497791 0.550703 0.555958 
0.513454 0.567782 0.626396 
0.556418 0.599322 0.671684 
0.618986 0.653384 0.692691 
0.65916 0.71878 0.722331 
0.684588 0.765317 0.722234 
0.706412 0.775832 0.718278 
0.742809 0.747057 0.739805 
0.764278 0.685196 0.754695 
0.709116 0.586549 0.701292 
0.606432 0.491989 0.707525 
0.489314 0.456103 0.608 
0.431491 0.461421 0.52882 
0.398943 0.451094 0.479381 
0.38105 0.441486 0.440826 
0.378764 NaN 0.40084 
0.377265 NaN 0.371474 
