elmo.2005 elmo.2008 elmo.2012 
NaN 0.000908799 NaN 
NaN 0.000797105 NaN 
NaN 0.00084638 NaN 
NaN 0.000883726 NaN 
0.0011807 0.000856303 NaN 
0.000992741 0.000993028 0.000810272 
0.00147016 0.000947538 0.000864847 
0.000982941 0.000793761 0.000860635 
0.000895279 0.000650373 0.00079351 
0.000877903 0.00068784 0.000804302 
0.000840805 0.000858293 0.000827297 
0.000999363 0.000892053 0.000846438 
0.000811227 0.0008762 0.000817752 
0.000800108 0.000835018 0.000755726 
0.000666219 0.000790578 0.000747177 
0.00055638 0.000806414 0.000776118 
0.000923564 0.000852025 0.000801956 
0.00088194 0.000850888 0.000819526 
0.000865332 0.000797001 0.000806433 
0.000822852 0.000792715 0.000837237 
0.000840341 0.000767313 0.000808357 
0.000798613 0.000644031 0.000883877 
0.000844852 0.00071428 0.000851318 
0.000820731 0.000727653 0.000905148 
0.000823847 0.00071165 0.000939044 
0.000881877 0.000819424 0.000813238 
0.000798413 0.000848037 0.000779099 
0.000854662 0.00076625 0.000770628 
0.000767486 0.000798252 0.000758429 
0.000805259 0.000691738 0.000703668 
0.000845547 0.00078325 0.000712139 
0.000835334 0.000745016 0.000698079 
0.00069011 0.000747107 0.00065689 
0.000626872 0.000631851 0.000604577 
0.000704977 0.000525033 0.000740058 
0.000795732 0.000616093 0.000832217 
0.000673419 0.00070487 0.000703665 
0.000477885 0.000697278 0.000685988 
0.000528841 0.000650952 0.000770279 
0.000795839 0.000638177 0.000708378 
0.00072182 0.000647169 0.000750028 
0.000821732 0.000635418 0.000735996 
0.00087481 0.000626518 0.000672731 
0.000762239 0.000802932 0.000634447 
0.000483587 NaN 0.000673063 
0.000641798 NaN 0.000703539 
