elmo.2005 elmo.2008 elmo.2012 
NaN 0.000675583 NaN 
NaN 0.000681941 NaN 
NaN 0.000689662 NaN 
NaN 0.000679325 NaN 
0.000838428 0.000668629 NaN 
0.000822587 0.000677157 0.000650924 
0.000829031 0.000678214 0.000649712 
0.000771586 0.00067688 0.000653742 
0.000738004 0.000673943 0.000657392 
0.000721078 0.000673543 0.000657025 
0.000714192 0.000679821 0.000657778 
0.000732249 0.000687333 0.000660253 
0.000713752 0.000696901 0.000659373 
0.000715938 0.00070484 0.000661602 
0.000717998 0.000711375 0.000673813 
0.000718208 0.000718053 0.000688649 
0.000714389 0.000724734 0.000698085 
0.000720629 0.00071687 0.000698704 
0.000703944 0.000687064 0.000692726 
0.000686571 0.000662103 0.000686062 
0.000679504 0.0006427 0.000662216 
0.000662465 0.000615332 0.000628732 
0.00064798 0.000614433 0.000605699 
0.000623172 0.000607551 0.000561245 
0.000572322 0.000578481 0.000514818 
0.000538378 0.000570139 0.000495991 
0.000546023 0.000577194 0.000490958 
0.000546299 0.000556951 0.000498692 
0.000532501 0.000530699 0.000497975 
0.000536906 0.000495044 0.000478331 
0.000546825 0.000480718 0.000419383 
0.000528239 0.000446965 0.000374338 
0.000468143 0.000395992 0.000354997 
0.000415452 0.000328011 0.000331128 
0.000387156 0.000276195 0.000348092 
0.000367917 0.000269199 0.000364495 
0.000329441 0.000299973 0.000342504 
0.000299045 0.000351935 0.000320364 
0.000344398 0.000422383 0.000367885 
0.000428653 0.000481551 0.000362583 
0.000509633 0.00050052 0.000434037 
0.000555501 0.000496779 0.000482411 
0.000590707 0.00050374 0.000505468 
0.000609426 0.000518049 0.000524961 
0.000605959 NaN 0.000557386 
0.000609704 NaN 0.000582384 
