elmo.2005 elmo.2008 elmo.2012 
NaN 0.00134735 0.00148609 
NaN 0.00133967 0.00145371 
NaN 0.00134941 0.00141287 
NaN 0.00133447 0.0013533 
NaN 0.00132963 0.00124216 
0.00105834 0.0012807 0.00118433 
0.00105767 0.00121419 0.00110477 
0.00103348 0.00125347 0.00107321 
0.00101318 0.00135228 0.00109446 
0.000977253 0.00132025 0.00111837 
0.000926457 0.00128107 0.00111488 
0.000933546 0.00125944 0.00111421 
0.000944773 0.00125582 0.00115173 
0.000926364 0.00132362 0.00121953 
0.000888774 0.00140726 0.00127216 
0.000889514 0.0014385 0.00129464 
0.000966407 0.0013958 0.00131081 
0.00104381 0.00141688 0.00132233 
0.00109846 0.00147544 0.0013202 
0.00109885 0.00156123 0.00126765 
0.00108762 0.00152005 0.00121649 
0.00110337 0.00144735 0.00120913 
0.00110998 0.00139254 0.00115291 
0.00114833 0.00125984 0.00109704 
0.00117818 0.00117019 0.00105634 
0.00117399 0.00117831 0.00103752 
0.00113541 0.00114712 0.00107246 
0.00109846 0.00110832 0.00102327 
0.00109849 0.00110869 0.00105562 
0.00107437 0.00113193 0.00105629 
0.0010542 0.00112936 0.00107576 
0.00106095 0.00112673 0.00107637 
0.00111041 NaN 0.00106625 
NaN NaN 0.00107961 
NaN NaN 0.00109143 
