elmo.2005 elmo.2008 elmo.2012 
NaN 0.526705 0.547498 
NaN 0.293195 0.523085 
NaN 0.332334 0.528506 
NaN 0.25229 0.579802 
NaN 0.45141 0.497151 
0.108971 0.557991 0.483562 
0.227152 0.497621 0.464278 
0.349503 0.675963 0.735834 
0.46992 0.726493 0.71964 
0.385517 0.43915 0.686782 
0.232249 0.726907 0.796988 
0.508133 0.783679 0.440697 
0.767255 0.625078 0.543092 
0.535937 0.683235 0.587999 
0.240751 0.726306 0.559177 
0.143417 0.629935 0.561773 
0.148817 0.524079 0.544067 
0.151163 0.561102 0.514581 
0.256426 0.569019 0.624005 
0.370042 0.593939 0.630958 
0.541212 0.696956 0.714343 
0.591677 0.64094 0.750307 
0.37638 0.72762 0.475668 
0.29794 0.743864 0.313131 
0.49866 1.04296 0.694757 
0.465468 0.945791 0.722533 
0.559021 0.712409 0.206035 
0.793649 0.472691 0.205394 
0.666076 0.242385 0.345233 
0.622234 0.522946 0.259775 
0.33006 0.230618 0.265018 
0.264745 0.317222 0.193214 
0.312378 NaN 0.206477 
NaN NaN 0.306765 
NaN NaN 0.339446 
