elmo.2005 elmo.2008 elmo.2012 
NaN 0.000828132 0.000924089 
NaN 0.000821317 0.000903085 
NaN 0.000833021 0.00088112 
NaN 0.000842844 0.000865033 
NaN 0.000872041 0.000831693 
0.0007544 0.000876351 0.00082362 
0.00076816 0.000832653 0.000794018 
0.00077994 0.000823809 0.000739459 
0.000771881 0.000826489 0.000734016 
0.000723771 0.000782954 0.000734429 
0.000674537 0.00072374 0.000719137 
0.00066449 0.000703142 0.000732491 
0.00065971 0.000718648 0.000735959 
0.000646997 0.000768974 0.000767729 
0.000636005 0.000803011 0.000801768 
0.000643439 0.00081599 0.000813473 
0.000695536 0.000802703 0.000821881 
0.000745591 0.000821009 0.000829376 
0.000738709 0.0008721 0.000818705 
0.000703454 0.0009261 0.000770552 
0.000675957 0.00087665 0.000729781 
0.000684354 0.00081457 0.000750316 
0.000701496 0.000794765 0.000727549 
0.000722299 0.000728607 0.000705957 
0.000710969 0.000671014 0.000700627 
0.000729517 0.00069232 0.00070548 
0.000738869 0.000712111 0.000754333 
0.000737263 0.000721158 0.000701023 
0.000777288 0.000750741 0.000753817 
0.00077845 0.000779501 0.0007789 
0.000771005 0.000787138 0.000818825 
0.00078619 0.000775189 0.000837841 
0.000832714 NaN 0.000831807 
NaN NaN 0.000832603 
NaN NaN 0.000833747 
