elmo.2005 elmo.2008 elmo.2012 
NaN 0.000568523 0.000643087 
NaN 0.00056214 0.000627774 
NaN 0.000574823 0.000615247 
NaN 0.00059703 0.00062091 
NaN 0.000643247 0.000626466 
0.000602428 0.000674177 0.000643271 
0.000623403 0.000641883 0.000638645 
0.00065317 0.000608979 0.000572579 
0.000651228 0.000563598 0.000553786 
0.00059703 0.000514314 0.000542448 
0.000548578 0.00044508 0.00052126 
0.000529961 0.000424987 0.000541629 
0.000517179 0.000450068 0.000528076 
0.000507316 0.000491656 0.00054183 
0.000509625 0.000500892 0.000566577 
0.000520408 0.000504734 0.000572891 
0.000560103 0.000506154 0.000577414 
0.000596479 0.000523077 0.000582894 
0.000558826 0.000570434 0.000567954 
0.000505757 0.000608542 0.000522005 
0.000470135 0.000554954 0.000486428 
0.000474846 0.000498176 0.000520916 
0.00049725 0.000495869 0.000514872 
0.000509282 0.000462988 0.000510415 
0.00047736 0.000421426 0.000522769 
0.000507276 0.000449328 0.000539458 
0.000540607 0.00049461 0.000595263 
0.000556664 0.000527574 0.000539898 
0.000616689 0.000571764 0.000602911 
0.000630489 0.000603285 0.0006402 
0.000629407 0.000616024 0.000690352 
0.000648813 0.000599418 0.000718574 
0.000693868 NaN 0.000714583 
NaN NaN 0.000709097 
NaN NaN 0.000704903 
