elmo.2005 elmo.2008 elmo.2012 
0.00116917 NaN NaN 
0.0011758 NaN NaN 
0.00118882 NaN NaN 
0.00117843 0.00117354 NaN 
0.00121045 0.00117373 0.00128347 
0.00125709 0.00117437 0.00135406 
0.00126669 0.00120629 0.0013971 
0.00125977 0.00123678 0.00141548 
0.00126126 0.00124885 0.00134769 
0.00130548 0.00126055 0.0013374 
0.00134907 0.00128162 0.00136143 
0.00137731 0.00131906 0.00136391 
0.00138188 0.00133417 0.0013371 
0.00138194 0.00137599 0.00136745 
0.00139029 0.00143729 0.00141241 
0.00137559 0.00142354 0.00141242 
0.00131397 0.00142244 0.00138132 
0.00131848 0.0013921 0.00134878 
0.00136151 0.00136353 0.00135285 
0.00140022 0.00140187 0.00138581 
0.0014178 0.00141559 0.00142923 
0.00142499 0.00137951 0.00144908 
0.00143121 0.00134733 0.00144045 
0.00141983 0.00134431 0.00142155 
0.00137074 0.00131324 0.00142856 
0.00130002 0.00127689 0.00144497 
0.00126685 0.00121252 0.00141331 
0.00124513 0.0011499 0.00136542 
0.00123069 0.0012272 0.00133676 
0.00128084 0.00132402 0.00134793 
0.00130418 0.00133039 0.00139315 
0.00131213 0.00132455 0.00140782 
0.00133338 0.00135143 0.00130174 
0.00135198 0.00138305 0.00130249 
0.00135176 0.00140117 0.00133212 
0.0013289 0.00141879 0.00134935 
0.00130837 0.00140721 0.00135939 
0.00131552 0.00136371 0.0013674 
0.00135177 0.00130814 0.00139078 
0.00135141 0.00126164 0.00140319 
NaN 0.00122321 0.00134799 
NaN 0.00122006 0.00129973 
NaN 0.00123563 0.00127564 
NaN NaN 0.00126879 
NaN NaN 0.00127806 
