elmo.2005 elmo.2008 elmo.2012 
0.401888 NaN NaN 
0.413561 NaN NaN 
0.429225 NaN NaN 
0.458033 0.433536 NaN 
0.491441 0.44529 0.484952 
0.526286 0.458727 0.533499 
0.55764 0.474114 0.549939 
0.582829 0.485544 0.54309 
0.575881 0.532197 0.556712 
0.589824 0.556129 0.560894 
0.63747 0.569386 0.572524 
0.663572 0.575822 0.608827 
0.674705 0.596725 0.615895 
0.677171 0.658166 0.632044 
0.677949 0.710557 0.647766 
0.695257 0.736273 0.651825 
0.704373 0.74255 0.659157 
0.702634 0.770009 0.664976 
0.682776 0.780673 0.672443 
0.688457 0.776711 0.692033 
0.744331 0.789612 0.709894 
0.782459 0.811174 0.723503 
0.788694 0.824782 0.730247 
0.759256 0.825502 0.74344 
0.741965 0.824582 0.749392 
0.729449 0.767424 0.761533 
0.708483 0.75719 0.739476 
0.68075 0.793987 0.717257 
0.659609 0.765898 0.726953 
0.624104 0.699024 0.7251 
0.601978 0.683979 0.689715 
0.567147 0.688158 0.65235 
0.532114 0.675327 0.665158 
0.507103 0.62714 0.641538 
0.482206 0.577135 0.597356 
0.45435 0.55596 0.581626 
0.43848 0.54524 0.559655 
0.448609 0.521413 0.525009 
0.468242 0.475373 0.478524 
0.470509 0.456966 0.46791 
NaN 0.454141 0.500256 
NaN 0.455182 0.511007 
NaN 0.437896 0.50671 
NaN NaN 0.492812 
NaN NaN 0.471581 
