elmo.2005 elmo.2008 elmo.2012 
0.000640597 NaN NaN 
0.000633751 NaN NaN 
0.000625061 NaN NaN 
0.000586063 0.000581878 NaN 
0.000555942 0.000571777 0.000571128 
0.00052892 0.000561182 0.000540613 
0.000492679 0.000556717 0.000535552 
0.000459495 0.000554132 0.000547158 
0.000463227 0.000507219 0.000504999 
0.000463645 0.000486952 0.000496323 
0.000426263 0.000482863 0.000488972 
0.000402734 0.000491868 0.000448946 
0.000387586 0.000476443 0.00043415 
0.000383955 0.000412356 0.000426808 
0.000385694 0.000361628 0.000424382 
0.000360901 0.000327086 0.000419851 
0.000339088 0.000317195 0.000403174 
0.000342342 0.000274141 0.000391976 
0.000373147 0.000247905 0.000381406 
0.000374952 0.000263266 0.000360938 
0.000317046 0.000250518 0.00034896 
0.000273395 0.000222017 0.000340594 
0.000263712 0.000203146 0.000336861 
0.000301849 0.000201672 0.000316523 
0.000318711 0.000205969 0.000306267 
0.000323677 0.000268868 0.000292111 
0.000345925 0.000276093 0.000313907 
0.000376383 0.000232135 0.000332804 
0.000399632 0.000269276 0.000315775 
0.000455914 0.000357508 0.000324906 
0.00048767 0.000380886 0.000379313 
0.000528603 0.000380709 0.000426553 
0.000572144 0.000388563 0.000391004 
0.000601349 0.00044526 0.000411804 
0.00061823 0.000507845 0.000470163 
0.000632403 0.000534037 0.000491034 
0.000642329 0.000541747 0.000519386 
0.000644299 0.000547349 0.000563919 
0.000647066 0.000577707 0.000624699 
0.000659516 0.000586437 0.000640562 
NaN 0.000580308 0.000578756 
NaN 0.000584504 0.00054197 
NaN 0.000619362 0.000539574 
NaN NaN 0.000559784 
NaN NaN 0.000596604 
