elmo.2005 elmo.2008 elmo.2012 
0.00146654 NaN NaN 
0.00139184 NaN NaN 
0.0013449 NaN 0.0012566 
0.00131552 0.00120588 0.00126401 
0.00130263 0.00121971 0.0012559 
0.00133489 0.00121784 0.00131491 
0.00139309 0.00118286 0.00138211 
0.00146188 0.00117279 0.00143946 
0.00154761 0.00120673 0.00151502 
0.00156849 0.00125675 0.0015847 
0.00154459 0.00131316 0.00156494 
0.0015043 0.00139439 0.00154514 
0.0013964 0.0015273 0.00152017 
0.00128072 0.00153465 0.00152328 
0.00116337 0.00156149 0.00156437 
0.00123059 0.00159391 0.00156966 
0.00111679 0.00158865 0.00160228 
0.00105948 0.00158331 0.0016045 
0.00111431 0.00155818 0.00158335 
0.00136488 0.00146216 0.00154501 
0.00148443 0.00142905 0.0014986 
0.0013832 0.00146008 0.00148225 
0.00125848 0.00143423 0.00147273 
0.00119873 0.00137585 0.00144518 
0.00120017 0.00133803 0.00142208 
0.00128865 0.00133097 0.00143334 
0.00135715 0.00133308 0.00147045 
0.00144823 0.0013811 0.00148532 
0.0015029 0.00142758 0.00149632 
0.00148696 0.0014639 0.00149058 
0.0014889 0.00141603 0.00146859 
0.00147216 0.00139155 0.00144288 
0.00145353 0.00136335 0.00141312 
0.00143924 0.00131276 0.00138707 
0.00142038 0.00128102 0.0013749 
0.00140133 0.00126907 0.0013284 
0.0013751 0.00123014 0.00127082 
0.00134116 0.00121543 0.00119623 
0.00130314 0.00117866 0.00114143 
0.0012434 0.00110591 0.00111571 
0.00117863 0.00108091 0.00107956 
0.00113442 0.00102353 0.00105819 
0.00109714 0.000991624 0.00106564 
0.00106605 0.000978904 0.00110285 
0.00104611 0.000975523 0.00113999 
0.00106825 0.000990974 0.00120035 
0.00111058 0.00102744 0.0012251 
0.00117284 0.00107412 0.00121554 
0.00121207 0.00113055 0.00118538 
0.00122959 0.00117358 0.00116381 
0.00121937 0.00120013 0.00115086 
0.00119447 0.00118529 0.00113678 
0.00117005 0.00114595 0.0011367 
0.00115163 0.00112016 0.00112436 
0.00113728 0.00110031 0.00111041 
0.00112274 0.00109175 0.00110128 
0.00110819 0.0010971 0.00110344 
NaN 0.00112703 NaN 
NaN 0.00112053 NaN 
NaN 0.0011132 NaN 
NaN 0.0011076 NaN 
