elmo.2005 elmo.2008 elmo.2012 
0.714598 NaN NaN 
0.6286 NaN NaN 
0.73536 NaN 0.514314 
0.953741 0.632827 0.368186 
0.957923 0.732621 0.391782 
0.669761 0.463904 0.396282 
0.737265 0.556665 0.321343 
0.720373 0.751201 0.262987 
0.688108 0.583651 0.417233 
0.656136 0.579508 0.421301 
0.588588 0.835993 0.546537 
0.544523 0.79686 0.743794 
0.72396 0.746218 0.793316 
0.591483 0.786765 0.771815 
0.576067 0.884577 0.900838 
0.523377 0.817919 0.938947 
0.538309 0.845346 0.925687 
0.423444 0.717043 0.850657 
0.487209 0.745178 0.779239 
0.440904 0.689338 0.747342 
0.535062 0.734841 0.729421 
0.496405 0.749497 0.769634 
0.449896 0.650458 0.748896 
0.429091 0.57506 0.727336 
0.405596 0.621427 0.672731 
0.605153 0.667868 0.680427 
0.575739 0.823659 0.733166 
0.689632 0.804776 0.713056 
0.789219 0.724001 0.715677 
0.753774 0.726998 0.649362 
0.696704 0.744584 0.718996 
0.672886 0.770017 0.681537 
0.662902 0.736586 0.669428 
0.682956 0.688796 0.683843 
0.669043 0.722971 0.678606 
0.698536 0.685111 0.679978 
0.644998 0.664189 0.594317 
0.643725 0.655418 0.544653 
0.56275 0.604076 0.512998 
0.540151 0.534128 0.445829 
0.527659 0.479466 0.369019 
0.417159 0.39747 0.36129 
0.398638 0.304209 0.342219 
0.319759 0.265888 0.462511 
0.214202 0.160342 0.510758 
0.325032 0.252047 0.55332 
0.405357 0.346139 0.591365 
0.420038 0.446578 0.661859 
0.526071 0.645939 0.639936 
0.716022 0.760728 0.598682 
0.677043 0.828099 0.546587 
0.558613 0.882513 0.460209 
0.433437 0.752885 0.39016 
0.322666 0.584999 0.302297 
0.378574 0.638179 0.248336 
0.354856 0.628518 0.308285 
0.169312 0.565677 0.233148 
NaN 0.490371 NaN 
NaN 0.598413 NaN 
NaN 0.556324 NaN 
NaN 0.437263 NaN 
