elmo.2005 elmo.2008 elmo.2012 
0.000753816 NaN NaN 
0.000715122 NaN NaN 
0.000689023 NaN 0.000773947 
0.000672667 0.000699731 0.000786491 
0.000666329 0.00070011 0.000784568 
0.000686065 0.000699588 0.000829848 
0.000719247 0.000695489 0.000875262 
0.000757546 0.000690278 0.000905432 
0.000806151 0.000691504 0.000941711 
0.000820268 0.00069524 0.000968511 
0.000828314 0.000705902 0.00089075 
0.000848962 0.000734455 0.000827423 
0.000786117 0.000781177 0.000778321 
0.000748958 0.000775917 0.000749656 
0.000714052 0.000773646 0.000761107 
0.000776586 0.000765319 0.000734846 
0.000696349 0.000742309 0.000757818 
0.000664077 0.0007586 0.000753791 
0.000685283 0.00076993 0.000743096 
0.000870943 0.000736593 0.000739918 
0.000937963 0.000736236 0.000740592 
0.000849019 0.000805679 0.000738085 
0.00075546 0.000799391 0.000744412 
0.000719797 0.000775685 0.000759453 
0.000709962 0.000753861 0.000751809 
0.000737726 0.000727247 0.000746136 
0.000745246 0.000686254 0.00074827 
0.000756234 0.000692796 0.000748313 
0.000760833 0.000708067 0.000750312 
0.000754083 0.000722986 0.000764645 
0.000757293 0.000708242 0.000758156 
0.000750622 0.000697867 0.000753262 
0.000750836 0.000691343 0.000749717 
0.000750188 0.000683648 0.000735893 
0.000748576 0.00067606 0.000733979 
0.000750847 0.000673273 0.000724098 
0.000742969 0.000667318 0.000719667 
0.000737816 0.000668445 0.0007166 
0.000739405 0.00067861 0.000721532 
0.000734463 0.00067696 0.000732284 
0.000728484 0.000672919 0.000743414 
0.000730001 0.000662838 0.000739974 
0.000723459 0.000663157 0.000731566 
0.000722822 0.000673543 0.000723224 
0.000720618 0.000681266 0.000717221 
0.000714709 0.00067915 0.000714904 
0.00071125 0.000673425 0.000696854 
0.000712374 0.000669271 0.000689676 
0.00070476 0.000659822 0.000687602 
0.000706129 0.000651934 0.000692475 
0.000710096 0.000661969 0.000696091 
0.00071875 0.000662593 0.000698433 
0.000734169 0.000665897 0.000717684 
0.000745392 0.000671112 0.000740683 
0.000749249 0.000672863 0.000754664 
0.000755052 0.000673664 0.000758402 
0.00076931 0.000681568 0.000778639 
NaN 0.000707911 NaN 
NaN 0.000698019 NaN 
NaN 0.000694053 NaN 
NaN 0.000693184 NaN 
