elmo.2005 elmo.2008 elmo.2012 
0.000397453 NaN NaN 
0.000376763 NaN NaN 
0.000361082 NaN 0.000532617 
0.000351241 0.000446654 0.000547732 
0.000348177 0.00044031 0.0005489 
0.000361651 0.000440463 0.000587315 
0.000382325 0.000451808 0.000621839 
0.000405381 0.000449024 0.000638418 
0.000435426 0.00043389 0.000655056 
0.000446162 0.000414485 0.000660415 
0.000470178 0.000402274 0.000553655 
0.000521293 0.000404484 0.000468565 
0.000480976 0.00040812 0.000407396 
0.000483077 0.000396554 0.000362842 
0.000489395 0.000379725 0.000359477 
0.000549585 0.000351028 0.00031744 
0.000486133 0.000319138 0.000335586 
0.000466373 0.000346246 0.000328433 
0.000470769 0.000375805 0.000322974 
0.000623978 0.000373816 0.000337379 
0.000664727 0.000389833 0.000361591 
0.000581928 0.00047848 0.000366004 
0.000503949 0.000481965 0.000380252 
0.000480334 0.000475598 0.000416588 
0.000464862 0.000461775 0.000416673 
0.000462266 0.000425385 0.000402539 
0.000439293 0.000362846 0.000387186 
0.000410234 0.000348645 0.000379813 
0.000389803 0.000348313 0.000377316 
0.000387644 0.000352535 0.000401681 
0.000391494 0.000354355 0.000402939 
0.000389855 0.000351025 0.000408457 
0.000399494 0.000355336 0.000418014 
0.000405666 0.00036909 0.000410302 
0.000412677 0.000373582 0.000413513 
0.000425609 0.000375376 0.000421944 
0.000426902 0.000385906 0.000444092 
0.000436148 0.000394949 0.000476785 
0.000457535 0.000428587 0.00051159 
0.000479995 0.000462486 0.000540576 
0.000503416 0.000468922 0.000575346 
0.000527792 0.000482495 0.000580867 
0.000536619 0.000498926 0.000564527 
0.000551207 0.000520864 0.00053341 
0.00055787 0.000534138 0.000505834 
0.000537938 0.000523238 0.000472177 
0.000511586 0.000496415 0.000432729 
0.00048214 0.00046685 0.000426741 
0.000451103 0.000424456 0.00043871 
0.000444394 0.000391113 0.000456808 
0.000455459 0.000392889 0.000468707 
0.000480894 0.000401242 0.000479258 
0.000516229 0.00042587 0.000508173 
0.000542277 0.000446591 0.000548841 
0.000555239 0.000459141 0.000576792 
0.00057121 0.000464621 0.000586963 
0.000599872 0.000473804 0.000616239 
NaN 0.000498351 NaN 
NaN 0.000486768 NaN 
NaN 0.000484481 NaN 
NaN 0.000485979 NaN 
