elmo.2005 elmo.2008 elmo.2012 
NaN NaN 0.00107843 
NaN NaN 0.00111394 
0.00121619 NaN 0.00120486 
0.00126336 0.00146562 0.0013264 
0.0012651 0.00131676 0.00145913 
0.00125406 0.0015994 0.00157852 
0.00119638 0.00209362 0.00151256 
0.00128565 0.00141786 0.00140553 
0.00124159 0.00120089 0.00132689 
0.000942209 0.00110481 0.00129617 
0.000451566 0.00120888 0.00112434 
0.000911765 0.00109062 0.00102539 
0.00179101 0.00105172 0.00102716 
0.00167377 0.00119032 0.00114887 
0.00155314 0.00120744 0.00125658 
0.00144945 0.00132063 0.00128736 
0.00154186 0.00153587 0.00127218 
0.00170751 0.00167762 0.00109998 
0.00184239 0.0016733 0.00130462 
0.00202207 0.00163441 0.00112219 
0.00199267 0.00163922 0.00111837 
0.00181912 0.00184913 0.00111376 
0.00176046 0.00176319 0.00124024 
0.00177473 0.00173363 0.00138962 
0.0018001 0.00198997 0.00123114 
0.00166304 0.00198399 0.00120808 
0.00138471 0.0018395 0.00113097 
0.00119744 0.00178485 0.00130927 
0.00115533 0.00146465 0.00146505 
0.00160577 0.00132029 0.00142041 
0.00155979 0.00129101 0.00155695 
0.00132592 0.00150391 0.00176919 
0.00141734 0.00128745 0.00143633 
0.00134751 0.00122931 0.00163339 
0.00119899 0.00125856 0.00170769 
0.001142 0.00132236 0.00164886 
0.00125241 0.00129658 0.00148966 
0.00125657 0.00133259 0.00153533 
0.00113434 0.00127131 0.00157409 
0.00128797 0.00132187 0.00165759 
0.00127784 0.00129832 0.00172729 
0.0011351 0.00119739 0.0017811 
0.00105704 0.00103135 0.00180013 
0.00101406 0.00135831 0.00178017 
0.00094933 0.00136262 0.00185342 
0.0010974 0.00163471 0.00170233 
0.00103674 0.00166253 0.00159545 
0.00097374 0.00160362 0.00152309 
0.00137476 0.00159592 0.00135029 
0.00146195 0.00147817 0.00119504 
0.00151661 0.00134036 NaN 
0.00147274 0.00133288 NaN 
NaN 0.00115575 NaN 
