elmo.2005 elmo.2008 elmo.2012 
NaN NaN 0.000863436 
NaN NaN 0.00083452 
0.000803966 NaN 0.000792625 
0.000781392 0.000999543 0.000804093 
0.000739167 0.000819279 0.000883941 
0.00076268 0.00110086 0.000941579 
0.00077195 0.00159763 0.000937118 
0.000888647 0.000865477 0.000887599 
0.000873227 0.000683358 0.000823463 
0.000625055 0.000639543 0.000852798 
0.000127181 0.000867992 0.000760551 
0.000479441 0.000808687 0.00076482 
0.00125566 0.000725552 0.000760808 
0.00116849 0.00083434 0.000782236 
0.000984552 0.000776379 0.000775135 
0.000852127 0.000769471 0.00077622 
0.000908687 0.000877919 0.000740581 
0.000978489 0.000929021 0.000621361 
0.00105342 0.000842754 0.000764405 
0.0012061 0.000806016 0.000687804 
0.00120218 0.000876741 0.000642555 
0.00107627 0.000952874 0.000696918 
0.000968818 0.000891448 0.000756346 
0.000950712 0.000848872 0.000790849 
0.000981407 0.000954834 0.00075885 
0.000897955 0.00103665 0.000734334 
0.000784521 0.00097015 0.000733058 
0.000738644 0.000961642 0.000790008 
0.000729357 0.000887811 0.00086125 
0.000955295 0.000858021 0.000894693 
0.00093719 0.000860412 0.000928271 
0.000848795 0.000869908 0.000962957 
0.000883573 0.000820503 0.000856465 
0.000889462 0.000853848 0.00100528 
0.000875851 0.000918822 0.000931984 
0.000868852 0.000904456 0.000875951 
0.000826847 0.000930495 0.000871077 
0.000808999 0.000885828 0.000816264 
0.000857248 0.000837044 0.000887006 
0.000817886 0.000834277 0.000827003 
0.000810907 0.000805779 0.000837877 
0.000799212 0.000712481 0.000882586 
0.00079402 0.000689129 0.000872183 
0.00078868 0.000771046 0.000895261 
0.000771195 0.000806278 0.000956605 
0.000762243 0.000869006 0.000940627 
0.000735121 0.000875398 0.000940217 
0.000729945 0.000893379 0.000966078 
0.000834057 0.000891644 0.000922206 
0.000868226 0.000906911 0.000857505 
0.000958785 0.000879892 NaN 
0.000996108 0.000895984 NaN 
NaN 0.000919439 NaN 
