elmo.2005 elmo.2008 elmo.2012 
NaN NaN 0.000807905 
NaN NaN 0.00081186 
0.000786543 NaN 0.000816841 
0.000772078 0.000914977 0.000809559 
0.000763426 0.000935341 0.000816963 
0.000762188 0.000971991 0.000845412 
0.000779607 0.00102229 0.000863243 
0.000774401 0.000984504 0.000860425 
0.000781778 0.000945988 0.00084193 
0.000778569 0.000922783 0.000827958 
0.00072589 0.00088967 0.000851287 
0.000689647 0.000848304 0.000839648 
0.000664009 0.0008267 0.000847781 
0.000672497 0.000821932 0.000848704 
0.000668638 0.00080665 0.000827163 
0.000676403 0.000780654 0.000793893 
0.000675084 0.000775818 0.000778694 
0.000670544 0.00077782 0.000758787 
0.000681098 0.000772346 0.000795171 
0.000710082 0.00078807 0.000804422 
0.00072212 0.00081026 0.000809693 
0.000747005 0.000831327 0.000823531 
0.00075842 0.000836321 0.000836625 
0.000769223 0.000835642 0.000843395 
0.000791448 0.000843871 0.000840972 
0.000814516 0.000865409 0.00084397 
0.000830466 0.00086897 0.000842799 
0.000842205 0.000883509 0.000846159 
0.000845649 0.000891227 0.000857513 
0.000847481 0.000887152 0.00087514 
0.000844872 0.000893704 0.000882108 
0.000848583 0.000888153 0.000882263 
0.000835309 0.000893203 0.000862571 
0.00083026 0.000903609 0.000866813 
0.000828644 0.000906939 0.000872778 
0.000821887 0.000890973 0.000877209 
0.000815472 0.000877083 0.000874241 
0.000807717 0.000857271 0.000865828 
0.000800973 0.000844823 0.000854395 
0.000783342 0.000841788 0.000845538 
0.000774518 0.000835731 0.000837435 
0.000772077 0.000824484 0.000832003 
0.000773527 0.000816611 0.000830299 
0.00077109 0.000819134 0.000826738 
0.000763929 0.000815607 0.00083123 
0.000769841 0.000817771 0.000832446 
0.000785925 0.000817247 0.000831603 
0.000796777 0.000820345 0.000833915 
0.000809644 0.000818498 0.000837372 
0.000814774 0.000826296 0.000840726 
0.000815067 0.000833081 NaN 
0.000811744 0.00083531 NaN 
NaN 0.000835686 NaN 
