elmo.2005 elmo.2008 elmo.2012 
NaN NaN 0.000631603 
NaN NaN 0.000633564 
0.00060308 NaN 0.000630615 
0.000583056 0.000718692 0.000609353 
0.000569413 0.000726424 0.000601043 
0.000563797 0.000759339 0.000617354 
0.000577875 0.000809577 0.000637957 
0.000576266 0.000767768 0.000642632 
0.00058976 0.00072347 0.000634124 
0.000595926 0.00070765 0.000635935 
0.00054577 0.000691926 0.000673593 
0.000498276 0.000667608 0.000676781 
0.000461947 0.00063356 0.00067385 
0.000459645 0.000607714 0.000645869 
0.000430802 0.000556448 0.00058569 
0.000415376 0.000500663 0.000520724 
0.000393659 0.000480563 0.00049817 
0.000362753 0.000463225 0.000468975 
0.000356649 0.000439648 0.000490682 
0.000374912 0.000447652 0.000501001 
0.000390602 0.000475187 0.000502255 
0.000430315 0.00049305 0.000514791 
0.000442351 0.000487365 0.000517094 
0.000444145 0.000471158 0.000508932 
0.000463731 0.000465984 0.000502151 
0.000499977 0.00051088 0.000506434 
0.000552031 0.000548336 0.000529835 
0.000588019 0.000579382 0.000548979 
0.00058566 0.000589956 0.000569102 
0.000569995 0.000584307 0.000585477 
0.000571276 0.000586417 0.000579175 
0.000604764 0.000578692 0.00056357 
0.000613225 0.000586599 0.000550753 
0.000630194 0.000603666 0.000558457 
0.000642862 0.000616679 0.00057483 
0.000634215 0.000614875 0.000595818 
0.000618508 0.000629151 0.000609326 
0.000600247 0.000616971 0.000601515 
0.000585062 0.000599722 0.000588277 
0.000576362 0.000596285 0.000581259 
0.000575889 0.000586863 0.000572296 
0.000586348 0.00056824 0.000561485 
0.000596438 0.000550296 0.00055233 
0.000589538 0.00055001 0.000547195 
0.000564186 0.000551157 0.000560128 
0.00055246 0.0005456 0.000568527 
0.000559973 0.00054883 0.000573144 
0.000577198 0.00055252 0.000577503 
0.0005858 0.000552228 0.000583111 
0.000592017 0.000566534 0.000590642 
0.000597045 0.000580569 NaN 
0.000599901 0.000593899 NaN 
NaN 0.000596081 NaN 
