elmo.2005 elmo.2008 elmo.2012 
NaN NaN 0.341953 
NaN NaN 0.329502 
0.435055 0.27355 0.287912 
0.569901 0.356201 0.407944 
0.623361 0.587771 0.444222 
0.731193 0.725224 0.349617 
0.886076 0.667983 0.455866 
0.664702 0.569383 0.52399 
0.662916 0.440198 0.486935 
0.577167 0.406936 0.532234 
0.519318 0.514618 0.570869 
0.608829 0.605414 0.534569 
0.712795 0.563535 0.533714 
0.550016 0.573443 0.641354 
0.367553 0.580223 0.579242 
0.380599 0.473388 0.667061 
0.409296 0.582125 0.276342 
0.40166 0.753227 0.291765 
0.413439 0.696918 0.411801 
0.422801 0.663585 0.492263 
0.428442 0.603188 0.396211 
0.388981 0.574537 0.300053 
0.414097 0.617329 0.583088 
0.573807 0.691453 0.660208 
0.634965 0.738911 0.715996 
0.779521 0.701489 0.698782 
0.808773 0.68394 0.647112 
0.732983 0.648219 0.564442 
0.533004 0.53784 0.477251 
0.425802 0.410365 0.393128 
0.414195 0.384407 0.326632 
0.34936 0.405871 0.312926 
0.320873 0.36834 0.36409 
0.300451 0.418532 0.331544 
0.401942 0.413223 0.221833 
0.46535 0.406423 NaN 
0.53606 0.314274 NaN 
0.51922 0.424128 NaN 
NaN 0.356033 NaN 
