elmo.2005 elmo.2008 elmo.2012 
NaN NaN 0.418819 
NaN NaN 0.433638 
0.457785 0.475606 0.451775 
0.455149 0.472644 0.467292 
0.459627 0.480929 0.480273 
0.478346 0.478719 0.486299 
0.516377 0.468696 0.483823 
0.552939 0.472249 0.499465 
0.54871 0.46914 0.505529 
0.536859 0.470757 0.51713 
0.517643 0.492454 0.526049 
0.524935 0.520324 0.525681 
0.54314 0.531173 0.507852 
0.541637 0.543376 0.518055 
0.523516 0.560463 0.507161 
0.506437 0.581249 0.524468 
0.488018 0.611648 0.493159 
0.48889 0.644918 0.487355 
0.509178 0.641951 0.521802 
0.527535 0.625011 0.552437 
0.532416 0.579927 0.54498 
0.512083 0.522904 0.506573 
0.482686 0.533391 0.497299 
0.480969 0.582191 0.517698 
0.521894 0.633867 0.550725 
0.595796 0.633255 0.564408 
0.6415 0.603264 0.553209 
0.630005 0.55001 0.514552 
0.565536 0.502785 0.465893 
0.507076 0.483048 0.419774 
0.486584 0.465568 0.389629 
0.432762 0.469329 0.374031 
0.387232 0.480123 0.371144 
0.370304 0.497383 0.376 
0.386143 0.504262 0.381839 
0.40047 0.500978 NaN 
0.409256 0.492831 NaN 
0.414659 0.488508 NaN 
NaN 0.483942 NaN 
