elmo.2005 elmo.2008 elmo.2012 
NaN NaN 0.000786944 
NaN NaN 0.00078222 
0.000804424 0.000822699 0.000779814 
0.000803964 0.000819061 0.000783021 
0.000815574 0.000809386 0.000783075 
0.000827502 0.000800597 0.000791076 
0.000825678 0.000798663 0.000800827 
0.00081414 0.000805718 0.000806272 
0.000812842 0.00081503 0.000811915 
0.000791586 0.000816393 0.000792563 
0.000761581 0.000819726 0.000765168 
0.00074196 0.000823256 0.000735711 
0.000725199 0.000813784 0.000719891 
0.000713821 0.000768897 0.000716863 
0.000709928 0.000735591 0.000711683 
0.000713041 0.000718001 0.000718003 
0.000707872 0.000706905 0.000716422 
0.00071066 0.000702388 0.000727543 
0.000711303 0.000713459 0.000736571 
0.000710112 0.000708215 0.000732982 
0.00071229 0.000708735 0.000719438 
0.000719783 0.000742683 0.000712445 
0.000731041 0.000758466 0.000735252 
0.000741986 0.000757149 0.000757108 
0.00074582 0.000767985 0.0007766 
0.000736869 0.000776873 0.000791083 
0.000739923 0.000773393 0.00079595 
0.000751109 0.000766407 0.000790747 
0.000747056 0.000775093 0.000788419 
0.000748835 0.000770657 0.000788835 
0.0007499 0.000768523 0.000805147 
0.00077248 0.000768803 0.000832213 
0.000808003 0.000778123 0.000852701 
0.000850073 0.000786279 0.000863657 
0.0008766 0.000788793 0.000857694 
0.000869624 0.000789978 NaN 
0.000858586 0.000788651 NaN 
0.000846506 0.000784892 NaN 
NaN 0.000784456 NaN 
