elmo.2005 elmo.2008 elmo.2012 
0.00128094 0.0010796 NaN 
0.00150249 0.00115411 0.00135232 
0.00141087 0.00131298 0.00140745 
0.00114825 0.00124709 0.00132858 
0.00101914 0.00134367 0.00125343 
0.0011174 0.00135837 0.00130752 
0.00120732 0.00126134 0.00131815 
0.00112888 0.00111315 0.00137867 
0.00117157 0.00106943 0.0013698 
0.00114632 0.00109705 0.00130229 
0.00119845 0.00116481 0.00123679 
0.00125083 0.00125513 0.00122206 
0.00104277 0.00137755 0.00129762 
0.00104539 0.00148142 0.00151914 
0.00107834 0.0013827 0.00149351 
0.00107141 0.00144417 0.0011969 
0.00101109 0.00145275 0.00108057 
0.00102709 0.00144182 0.0010388 
0.00113313 0.0012689 0.0010138 
0.00105765 0.00130386 0.000918696 
0.00107751 0.00126127 0.000879827 
0.00107478 0.00141845 0.00096052 
0.00103575 0.00160003 0.00104816 
0.00117901 0.00156326 0.000966374 
0.00102994 0.00142208 0.000938377 
0.00102818 0.00139838 0.00114759 
0.00131168 0.00139179 0.00135449 
0.00110278 0.001342 0.00151331 
0.00118098 0.00123447 0.0017272 
0.00125069 0.00114208 0.00149092 
0.00127659 0.0013233 0.00161756 
0.00137731 0.00146492 0.00177846 
0.00134911 0.0014711 0.00153784 
0.00136229 0.0015042 0.0013334 
0.00153775 0.00142223 0.0014308 
0.00154251 0.00130667 0.00146686 
0.00153385 0.00133436 0.00145635 
0.0015406 0.00146644 0.00149719 
0.00134109 0.00150231 0.00132863 
0.00110758 0.00148555 0.00122951 
0.00108894 0.00150499 0.00115601 
0.00116677 0.00148708 0.0011229 
0.00126352 0.00128176 0.00123107 
0.000972254 0.00123126 0.00142538 
0.00109793 0.00130487 0.00140896 
NaN 0.00119287 NaN 
