elmo.2005 elmo.2008 elmo.2012 
0.00130195 0.00117377 NaN 
0.0013175 0.00117508 0.00130196 
0.00131089 0.00120618 0.00127732 
0.00128671 0.00121801 0.00126249 
0.00127327 0.00120672 0.00126079 
0.00127322 0.00122231 0.00127508 
0.00128309 0.00120447 0.00128588 
0.00123348 0.00117637 0.00128604 
0.00120253 0.00117106 0.00124753 
0.00117184 0.00117769 0.00121162 
0.00116125 0.00116391 0.0011867 
0.00118153 0.00115652 0.00118911 
0.00119167 0.00118133 0.00122898 
0.00119792 0.00121728 0.00126706 
0.00119159 0.00122936 0.00127949 
0.00118923 0.00129316 0.00124734 
0.00117232 0.00130376 0.00120675 
0.0011645 0.00125814 0.00116208 
0.00116706 0.00120507 0.00113528 
0.00117788 0.00117444 0.00112191 
0.00120345 0.00119159 0.00113009 
0.00122813 0.00127366 0.0011562 
0.00124083 0.00137121 0.00118501 
0.00125634 0.00139676 0.00120139 
0.00124918 0.00135528 0.00120953 
0.00125489 0.00130943 0.00123506 
0.00126788 0.00129583 0.00127028 
0.00130084 0.00126467 0.00130899 
0.00133664 0.00124549 0.00136467 
0.00137119 0.00123667 0.00138581 
0.00140257 0.0012798 0.00143456 
0.00141198 0.00133464 0.00146784 
0.00138475 0.0013939 0.00145164 
0.00133621 0.00141007 0.00140632 
0.00132647 0.00137565 0.00139308 
0.00135179 0.00134009 0.00141656 
0.00136133 0.00132524 0.00141855 
0.00136545 0.00135408 0.00139949 
0.00131291 0.0013972 0.00134593 
0.00123384 0.00140619 0.00129995 
0.00120511 0.00140258 0.00125358 
0.00120834 0.00138048 0.00122095 
0.00121442 0.00133384 0.0012138 
0.00119055 0.001288 0.00122406 
0.00118328 0.00124858 0.00123147 
NaN 0.00122242 NaN 
