elmo.2005 elmo.2008 elmo.2012 
0.310397 0.384585 NaN 
0.45788 0.473172 0.571285 
0.458533 0.46944 0.492646 
0.241104 0.271825 0.401433 
0.199201 0.415541 0.356571 
0.309856 0.583116 0.399747 
0.427461 0.554721 0.549296 
0.4249 0.409909 0.614207 
0.494829 0.476152 0.581349 
0.530046 0.49554 0.580262 
0.548231 0.478139 0.612609 
0.537085 0.587053 0.612011 
0.450556 0.717008 0.574008 
0.479786 0.748488 0.782491 
0.401767 0.742107 0.7712 
0.420009 0.778409 0.493249 
0.40203 0.728271 0.41903 
0.364685 0.678175 0.327075 
0.348718 0.635447 0.325718 
0.364804 0.553976 0.327724 
0.370591 0.570202 0.237168 
0.412556 0.653146 0.208793 
0.493995 0.701101 0.209989 
0.523359 0.741598 0.29213 
0.407572 0.722497 0.421504 
0.469785 0.686461 0.527089 
0.593877 0.603414 0.590305 
0.494437 0.547407 0.604757 
0.567319 0.478058 0.575828 
0.54897 0.430615 0.676711 
0.504664 0.379272 0.685292 
0.503935 0.624655 0.599723 
0.508356 0.597687 0.708292 
0.550193 0.535529 0.51928 
0.591777 0.493083 0.524997 
0.611048 0.454795 0.480293 
0.656528 0.517795 0.582301 
0.625365 0.684044 0.588019 
0.530624 0.706023 0.519664 
0.430216 0.724752 0.497376 
0.294186 0.674199 0.473854 
0.265701 0.710638 0.475772 
0.382623 0.556102 0.487488 
0.420601 0.465896 0.476176 
0.504324 0.47528 0.50775 
NaN 0.502231 NaN 
