elmo.2005 elmo.2008 elmo.2012 
0.000902836 NaN NaN 
0.000899135 NaN NaN 
0.000872336 0.000892081 NaN 
0.000851398 0.000903772 NaN 
0.000826884 0.000908633 NaN 
0.000814025 0.000907471 0.000819857 
0.000811692 0.000910674 0.000812917 
0.000801434 0.000943125 0.000820836 
0.000801511 0.000971512 0.000842342 
0.00080729 0.00102313 0.000859269 
0.000803332 0.00107638 0.00087106 
0.000836349 0.00106611 0.00087021 
0.000804558 0.000983727 0.000861804 
0.000768595 0.00092702 0.000862426 
0.00073693 0.000935488 0.000852418 
0.000776837 0.000905557 0.000836526 
0.000834738 0.000861554 0.000843626 
0.000919705 0.000876267 0.000856306 
0.00094738 0.000854503 0.000835952 
0.000904866 0.00082784 0.000828118 
0.000791428 0.000796249 0.000830705 
0.000768682 0.000783074 0.000828229 
0.000735704 0.000792519 0.000830311 
0.000798068 0.000804679 0.000814754 
0.000831665 0.000800767 0.000812076 
0.000855966 0.00079605 0.000805837 
0.000892958 0.000805843 0.000802554 
0.000892891 0.000816082 0.000827465 
0.00089105 0.000817791 0.000870501 
0.00084862 0.000835618 0.000871626 
0.000814368 0.000856166 0.000839048 
0.000820227 0.000870092 0.00084011 
0.000844203 0.000843702 0.000826793 
0.000857003 0.000828762 0.000816609 
0.000860913 NaN 0.000792916 
0.000852054 NaN 0.00079358 
0.000852474 NaN 0.000807007 
0.000855812 NaN 0.000818807 
0.000845187 NaN 0.000821262 
0.000832171 NaN 0.000818139 
0.000835304 NaN 0.000813172 
0.000832012 NaN 0.000810562 
0.000826102 NaN 0.000810281 
0.000829864 NaN 0.000811481 
0.000831282 NaN NaN 
