elmo.2005 elmo.2008 elmo.2012 
0.000729958 NaN NaN 
0.000641933 NaN NaN 
0.000808461 0.000699542 NaN 
0.000822925 0.000782813 NaN 
0.000731285 0.000549834 NaN 
0.000624577 0.000607993 0.000820165 
0.000612484 0.000569204 0.000626429 
0.000554424 0.000713338 0.000562975 
0.000638705 0.000743158 0.000585156 
0.000454534 0.000904274 0.000617708 
0.000406468 0.000868277 0.000622625 
0.000833035 0.000579527 0.000597282 
0.00032177 0.000596357 0.00066255 
0.000582321 0.000630017 0.00075392 
0.000713423 0.000738984 0.00063438 
0.000646658 0.00071096 0.000598045 
0.000766525 0.00088591 0.000590324 
0.000604348 0.00124893 0.000834894 
0.00053688 0.000533571 0.00055753 
0.000604608 0.000388314 0.000505436 
0.000542949 0.000429129 0.000581484 
0.000379091 0.000482857 0.000388993 
0.000102574 0.000337409 0.000506538 
0.000383583 0.000471292 0.000501753 
0.000515647 0.000429534 0.00051303 
0.000615787 0.000444051 0.00060362 
0.000776109 0.00053457 0.000568778 
0.000376015 0.000581653 0.000614056 
0.000424163 0.000630289 0.000659523 
0.000579911 0.000651323 0.00069234 
0.000548676 0.000758522 0.000633115 
0.00059859 0.000736838 0.000623634 
0.000615396 0.00058241 0.000682202 
0.000521772 0.000583085 0.000777655 
0.000634654 NaN 0.000616791 
0.000590259 NaN 0.000669111 
0.000743636 NaN 0.000725712 
0.000705726 NaN 0.000766409 
0.000636666 NaN 0.000654451 
0.000473638 NaN 0.000596933 
0.000575441 NaN 0.000585357 
0.000703537 NaN 0.000494272 
0.00062287 NaN 0.000558564 
0.000549075 NaN 0.000650884 
0.000813615 NaN NaN 
