elmo.2005 elmo.2008 elmo.2012 
NaN 0.331492 0.422845 
NaN 0.331363 0.429583 
NaN 0.329889 0.439136 
NaN 0.329639 0.450512 
0.320855 0.338335 0.452732 
0.32707 0.348684 0.45509 
0.343055 0.354301 0.453366 
0.362439 0.380304 0.446361 
0.382117 0.370692 0.437224 
0.405234 0.350345 0.42037 
0.399516 0.330115 0.403978 
0.412763 0.322166 0.392794 
0.423487 0.322895 0.387275 
0.425013 0.331644 0.38439 
0.398917 0.347022 0.381275 
0.391557 0.364095 0.369422 
0.388784 0.380136 0.3638 
0.386601 0.391947 0.342401 
0.383083 0.404278 0.324306 
0.365394 0.40952 0.314268 
0.34675 0.432803 0.311607 
0.343965 0.468323 0.335103 
0.354875 0.487385 0.394514 
0.384919 0.505076 0.432831 
0.422611 0.522251 0.452196 
0.457895 0.533999 0.461044 
0.468357 0.577744 0.481448 
0.478506 0.629895 0.535876 
0.50451 0.670325 0.600849 
0.547231 0.734193 0.660629 
0.606697 0.777904 0.726478 
0.666037 0.783452 0.749187 
0.686588 0.77576 0.766089 
0.710229 0.75739 0.798044 
0.741419 0.723238 0.764272 
0.75592 0.663113 0.673434 
0.734359 0.584236 0.570607 
0.664907 0.505032 0.479238 
0.573882 0.464185 0.436871 
0.48296 0.437586 0.415964 
0.435365 0.418129 0.391878 
0.405931 0.40591 0.379023 
0.388907 0.391067 NaN 
0.379205 0.39077 NaN 
0.379928 NaN NaN 
0.382134 NaN NaN 
0.376912 NaN NaN 
