elmo.2005 elmo.2008 elmo.2012 
NaN 0.000858882 0.000784309 
NaN 0.000857467 0.000783139 
NaN 0.000859307 0.000779554 
NaN 0.000868021 0.000781437 
0.00120358 0.000876024 0.000792026 
0.00120859 0.000878136 0.000800532 
0.00117281 0.000871446 0.00080476 
0.00108984 0.00086494 0.000805499 
0.00100882 0.000866351 0.000802297 
0.000962307 0.000873432 0.000801336 
0.000984889 0.000874651 0.000801206 
0.000935727 0.00086674 0.000800285 
0.000895069 0.000860607 0.000795474 
0.00086846 0.000847362 0.000785073 
0.000884495 0.000836924 0.000771184 
0.000881225 0.000831165 0.000774177 
0.000864218 0.000821231 0.000776386 
0.000856158 0.000811339 0.000782519 
0.000847736 0.000811078 0.000780307 
0.000858404 0.000812534 0.000793624 
0.000872996 0.000801484 0.000806884 
0.000878977 0.00076606 0.00080779 
0.00087063 0.000752184 0.00077551 
0.000845765 0.000751334 0.000749431 
0.000804465 0.000760872 0.000728279 
0.000767705 0.000766828 0.000717164 
0.000765479 0.00074814 0.000720524 
0.000772156 0.000741657 0.000714375 
0.000772205 0.000731051 0.000695667 
0.000762595 0.000677274 0.000667685 
0.000737097 0.000639086 0.000660908 
0.000708637 0.000639646 0.000689428 
0.000716615 0.000655389 0.000700535 
0.000710004 0.000664979 0.000666272 
0.000688817 0.000669944 0.000659845 
0.000672726 0.000673395 0.000690233 
0.000673961 0.000683547 0.000725547 
0.000700695 0.000702292 0.000727049 
0.000734513 0.000720482 0.000710019 
0.000759797 0.000731194 0.000716591 
0.000758359 0.000734831 0.000721202 
0.000743645 0.000730437 0.000721143 
0.000730508 0.000727482 NaN 
0.000729027 0.000718015 NaN 
0.000725731 NaN NaN 
0.000725814 NaN NaN 
0.000727395 NaN NaN 
