elmo.2005 elmo.2008 elmo.2012 
0.271366 NaN NaN 
0.3894 NaN NaN 
0.577544 NaN NaN 
0.513364 NaN NaN 
0.550785 NaN NaN 
0.591557 0.449956 NaN 
0.596157 0.650029 0.527659 
0.571394 0.648875 0.583338 
0.630149 0.400322 0.523424 
0.255216 0.442083 0.544287 
0.190386 0.809506 0.644931 
0.247761 0.932938 0.413009 
0.375201 0.668628 0.617959 
0.407482 0.699654 0.475957 
0.41036 0.773308 0.435416 
0.345414 0.818169 0.612939 
0.315479 0.845274 0.59495 
0.564743 0.586582 0.617495 
0.752673 0.603287 0.552162 
0.464427 0.490029 0.609423 
0.416934 0.462894 0.630812 
0.317827 0.34324 0.525806 
0.174973 0.4704 0.40808 
0.247986 0.68878 0.431689 
0.288352 0.551709 0.524388 
0.257117 0.5244 0.642238 
0.433999 0.603949 0.772935 
0.481803 0.58966 0.979955 
0.70473 0.559897 0.68645 
0.638706 0.575721 0.507436 
0.429721 0.735778 0.965071 
0.320967 0.45464 0.28365 
NaN 0.51245 0.14677 
NaN 0.353734 NaN 
NaN 0.413968 NaN 
NaN 0.290252 NaN 
NaN 0.170209 NaN 
