elmo.2005 elmo.2008 elmo.2012 
0.000709035 NaN NaN 
0.000716772 NaN NaN 
0.000798457 NaN NaN 
0.000914977 NaN NaN 
0.000764359 NaN NaN 
0.000635233 0.000839269 NaN 
0.000666123 0.000806133 0.000879524 
0.000875904 0.000820386 0.000657917 
0.000647919 0.000951563 0.000693452 
0.000919342 0.00107344 0.000819799 
0.000909544 0.000643825 0.000710083 
0.000943819 0.000521673 0.000871264 
0.000946463 0.000663475 0.000651319 
0.00075475 0.000667288 0.000674435 
0.000907458 0.000597054 0.000760904 
0.00105022 0.00052978 0.000699755 
0.000737652 0.000560119 0.000633769 
0.00052338 0.000577959 0.000491691 
0.000382657 0.000741856 0.000705961 
0.000593397 0.000826054 0.000632704 
0.000721224 0.000801047 0.000636422 
0.000735386 0.000729018 0.000743958 
0.000737449 0.000618259 0.00082951 
0.00070468 0.000611158 0.000843707 
0.000700479 0.000765204 0.000831277 
0.000735007 0.000887904 0.000705622 
0.000674129 0.000859866 0.000524655 
0.000624162 0.000750546 0.0003041 
0.000543552 0.000773306 0.000592806 
0.000627679 0.000713533 0.000743232 
0.000847382 0.000723681 0.000252946 
0.00103499 0.000797416 0.000885246 
NaN 0.000824073 0.000909386 
NaN 0.00091704 NaN 
NaN 0.00078257 NaN 
NaN 0.000702989 NaN 
NaN 0.000901172 NaN 
