elmo.2005 elmo.2008 elmo.2012 
NaN 0.00130115 0.00119423 
NaN 0.00132695 0.00121782 
NaN 0.00132441 0.00122993 
NaN 0.0013197 0.00123498 
0.00120993 0.00131197 0.00123794 
0.00122654 0.00133235 0.00126818 
0.00123349 0.00135875 0.00133633 
0.00124045 0.00137921 0.00143608 
0.00123815 0.00140203 0.00150865 
0.00125735 0.00138955 0.00149567 
0.00125297 0.00135441 0.00147342 
0.00129316 0.00138951 0.00147878 
0.00129718 0.00140093 0.00146591 
0.00128713 0.00136586 0.00146036 
0.00127506 0.00133893 0.00146868 
0.00125713 0.00133549 0.00145933 
0.00121904 0.00132363 0.00143739 
0.00122873 0.00127304 0.00144811 
0.00122014 0.00124304 0.00143905 
0.00125023 0.00124405 0.00142161 
0.00121267 0.00127491 0.00138507 
0.00116684 0.00132402 0.00137389 
0.00117686 0.00136319 0.00137669 
0.00119704 0.00137696 0.0013961 
0.00118459 0.00131892 0.00131714 
0.0011403 0.00129258 0.00121103 
0.0011296 0.00123504 0.00120283 
0.00119318 0.00121337 0.00122189 
0.00119695 0.00130864 0.00127413 
0.00115746 0.00123597 0.00127849 
0.00117588 0.00125411 0.00123482 
0.00123445 0.0013129 0.00120382 
0.00127376 0.00127093 0.00118653 
0.0012626 0.00126763 0.00117568 
0.00126872 0.00123924 0.00117226 
0.00126545 0.00123663 0.00117996 
0.00125074 0.00123508 0.00117019 
NaN 0.00124678 0.00113666 
NaN NaN 0.00112105 
NaN NaN 0.00113497 
NaN NaN 0.00114211 
