elmo.2005 elmo.2008 elmo.2012 
NaN 0.329404 0.442011 
NaN 0.433046 0.49553 
NaN 0.401939 0.446115 
NaN 0.410738 0.387464 
0.632773 0.354496 0.569996 
0.358545 0.266801 0.600579 
0.56494 0.328965 0.481957 
0.600446 0.425174 0.444431 
0.641793 0.606399 0.583983 
0.635303 0.746832 0.415859 
0.722826 0.729977 0.567473 
0.688062 0.727586 0.521325 
0.740557 0.788471 0.495856 
0.678991 0.762513 0.764246 
0.78069 0.713973 0.747828 
0.787198 0.752164 0.744077 
0.845967 0.770798 0.645316 
0.785915 0.755546 0.548793 
0.76645 0.75455 0.674139 
0.743512 0.797168 0.756267 
0.622591 0.837848 0.811918 
0.694155 0.82847 0.718068 
0.729905 0.668581 0.711098 
0.716185 0.51455 0.63547 
0.730654 0.585541 0.588121 
0.772644 0.69442 0.419188 
0.750488 0.744126 0.532564 
0.671919 0.766895 0.347629 
0.628285 0.83274 0.502607 
0.671714 0.791275 0.455579 
0.564367 0.679392 0.688043 
0.353676 0.682556 0.772932 
0.226193 0.642607 0.68271 
0.628976 0.634038 0.71272 
0.484149 0.603063 0.396271 
0.322969 0.632032 0.605361 
0.162949 0.617063 0.53375 
NaN 0.36058 0.402591 
NaN NaN 0.41224 
NaN NaN 0.378627 
NaN NaN 0.487616 
