elmo.2005 elmo.2008 elmo.2012 
NaN 0.000908553 0.00078806 
NaN 0.000877064 0.000862972 
NaN 0.000908335 0.000939268 
NaN 0.000736059 0.00101433 
0.00068207 0.000770727 0.000863132 
0.00093078 0.000899086 0.000832373 
0.000786884 0.00082274 0.000904077 
0.000730424 0.000812903 0.000887314 
0.000714799 0.00079859 0.000871818 
0.000788626 0.000755675 0.000776089 
0.000640418 0.000757517 0.000744962 
0.000703565 0.000787689 0.00073182 
0.00063581 0.000740829 0.000783308 
0.000596865 0.000721024 0.000730121 
0.000658152 0.000714191 0.000762686 
0.000591047 0.000644921 0.000681704 
0.000552625 0.00063014 0.000659664 
0.000524092 0.000642671 0.000708057 
0.000613907 0.000647567 0.000773307 
0.000548954 0.000620649 0.000670179 
0.00055878 0.000555963 0.000568599 
0.00063046 0.000536451 0.00059834 
0.000565615 0.000581073 0.000621778 
0.000555009 0.000624145 0.000747355 
0.000538064 0.000582302 0.000720512 
0.000491487 0.000579362 0.000729706 
0.000514175 0.000441321 0.000672307 
0.000646539 0.000433529 0.000874702 
0.000661977 0.000626519 0.000798065 
0.000601326 0.000435867 0.000731703 
0.000744638 0.000528865 0.000495792 
0.000980967 0.000659482 0.000470666 
0.00104398 0.000645252 0.000623703 
0.000682066 0.000642783 0.000607009 
0.000889311 0.000634609 0.000835835 
0.00101743 0.000597027 0.000713008 
0.00106103 0.000628661 0.000803887 
NaN 0.00103722 0.000786768 
NaN NaN 0.000776935 
NaN NaN 0.000824679 
NaN NaN 0.000733297 
