elmo.2005 elmo.2008 elmo.2012 
NaN 0.000837045 0.000820742 
NaN 0.000845909 0.000832457 
NaN 0.000839217 0.000839956 
NaN 0.000836089 0.000839499 
0.000723949 0.000823858 0.000808939 
0.000736181 0.000821178 0.000786527 
0.000735501 0.000822115 0.000796114 
0.000732211 0.000824822 0.000824563 
0.000703052 0.000819752 0.000826828 
0.000674804 0.000797798 0.000803167 
0.000658293 0.000776537 0.000770047 
0.000684767 0.000791257 0.000773101 
0.000699768 0.000789103 0.000774049 
0.000695952 0.000758649 0.000773121 
0.000681178 0.000729214 0.000764681 
0.000677465 0.000701411 0.000768414 
0.000669198 0.000685704 0.000769851 
0.000659687 0.000665491 0.000777715 
0.000662802 0.000659898 0.000782772 
0.000680964 0.000652441 0.000764696 
0.000659901 0.000638187 0.00071418 
0.000617262 0.000650755 0.000709653 
0.000621354 0.000657274 0.000717338 
0.000642297 0.00066604 0.000766508 
0.000650595 0.000640535 0.000758477 
0.000636834 0.000623909 0.000737012 
0.000638989 0.000594623 0.000744842 
0.000695097 0.00059416 0.000781528 
0.000717783 0.000624059 0.000806654 
0.000681866 0.000621979 0.000809975 
0.000713256 0.000686919 0.000745593 
0.000813578 0.000727441 0.000708428 
0.000875563 0.000732082 0.000703502 
0.000836129 0.00075031 0.000720954 
0.000877618 0.000754592 0.000736072 
0.000948043 0.000783302 0.000755547 
0.000990164 0.000819089 0.000766022 
NaN 0.000895044 0.000753141 
NaN NaN 0.000736486 
NaN NaN 0.000769657 
NaN NaN 0.000790464 
