elmo.2005 elmo.2008 elmo.2012 
NaN 0.000604993 0.000634 
NaN 0.000605388 0.000639775 
NaN 0.000596625 0.000644968 
NaN 0.000594285 0.000641761 
0.000480957 0.000579803 0.000594438 
0.000490999 0.000565595 0.000545698 
0.000486502 0.0005538 0.000526005 
0.000478091 0.00054763 0.000518806 
0.000435501 0.000528611 0.000485919 
0.000383528 0.000501919 0.000456918 
0.000360948 0.000487601 0.000418359 
0.000380566 0.000492133 0.000420267 
0.000401065 0.00048319 0.000428127 
0.000400371 0.000455046 0.000429497 
0.000384244 0.000424354 0.000412677 
0.000387634 0.000384373 0.000422952 
0.000394274 0.000366747 0.000436081 
0.000375168 0.000361715 0.000442517 
0.000384129 0.000368325 0.000454636 
0.000396326 0.000356638 0.000436237 
0.000383513 0.000319833 0.000378744 
0.000342467 0.000314121 0.000377541 
0.000343606 0.000304306 0.00038766 
0.000364919 0.000310577 0.000451715 
0.000383591 0.000301332 0.000479149 
0.000385099 0.000289569 0.000500007 
0.000393692 0.000274415 0.000515858 
0.000446053 0.000284557 0.00056135 
0.000478196 0.000281774 0.000572918 
0.000444072 0.000314985 0.000575713 
0.000481947 0.000403325 0.000500976 
0.000603156 0.000434707 0.00046073 
0.000676467 0.000462658 0.000461989 
0.000622898 0.000491646 0.000493588 
0.000682086 0.000512267 0.00051797 
0.000789341 0.000556645 0.000543339 
0.000859874 0.000611094 0.000563939 
NaN 0.000719173 0.000561391 
NaN NaN 0.000544211 
NaN NaN 0.000587001 
NaN NaN 0.000614642 
