elmo.2005 elmo.2008 elmo.2012 
0.00147997 NaN NaN 
0.00146032 0.00126764 NaN 
0.00139927 0.00124798 0.00129367 
0.00144608 0.00124693 0.00129348 
0.00146592 0.00127341 0.0012914 
0.0014836 0.00130996 0.00130324 
0.00158228 0.00136928 0.001364 
0.0016182 0.00145148 0.00151383 
0.00163126 0.00149496 0.00156587 
0.00169705 0.00155103 0.00156328 
0.00174466 0.00163104 0.0016102 
0.0016819 0.00152605 0.00165744 
0.00158577 0.00150595 0.0016498 
0.00154284 0.00150861 0.00158148 
0.00152262 0.00151494 0.00155987 
0.0014644 0.00152195 0.0015567 
0.00142604 0.00146039 0.00151673 
0.00153803 0.00143135 0.00152122 
0.00164841 0.00148933 0.00150466 
0.00148686 0.00143013 0.0014697 
0.00129798 0.00136242 0.00142516 
0.00128307 0.00135085 0.00142797 
0.00136212 0.001404 0.00145435 
0.00147505 0.00146731 0.00147493 
0.00154731 0.00150725 0.00150415 
0.00155296 0.00151435 0.00149642 
0.00152627 0.00148157 0.00146831 
0.00147514 0.001451 0.00144146 
0.00145187 0.00141059 0.00142515 
0.001437 0.00139168 0.0014205 
0.00140766 0.00138473 0.00139757 
0.00139345 0.00135399 0.00137981 
0.00135204 0.00125883 0.00129655 
0.00128388 0.00114123 0.00127749 
0.00119024 0.00107076 0.00120333 
0.00118697 0.00103988 0.00112246 
0.00115966 0.00101482 0.00108498 
0.00112205 0.000999368 0.00104116 
0.00111806 0.00099455 0.000995447 
0.00110209 0.00103822 0.000982349 
0.0010719 0.00110396 0.000991793 
0.00104976 0.0011677 0.00103951 
0.00106255 0.00121786 0.00109856 
0.00110921 0.00121455 0.00114536 
0.00116581 0.00119417 0.00117464 
0.00121043 0.00116356 0.00119751 
0.00123233 0.00114523 0.00117158 
0.00123565 0.00117513 0.00112832 
0.00118729 0.00118714 0.00111973 
0.00115166 0.00121435 0.00114469 
0.00114625 0.00118715 0.00117471 
0.0011531 0.0011489 0.00117574 
0.00116282 0.00114471 0.00113646 
0.00116655 0.001161 0.00109349 
0.00115418 0.00119438 0.00107298 
0.00114872 0.001191 NaN 
0.00115251 NaN NaN 
0.00114039 NaN NaN 
