elmo.2005 elmo.2008 elmo.2012 
0.645405 NaN NaN 
0.985017 0.596325 NaN 
1.02048 0.347293 0.650253 
0.803659 0.394574 0.579684 
0.79348 0.429407 0.618134 
0.933907 0.796394 0.783777 
0.785665 0.666046 0.713876 
0.644859 0.657056 0.615015 
0.640723 0.84177 0.702944 
0.572264 1.06793 0.700003 
0.493926 0.773742 0.959304 
0.399978 0.84899 0.684204 
0.395375 0.814024 0.562003 
0.526309 0.719147 0.886915 
0.494783 0.778217 0.848188 
0.490635 0.862627 0.898847 
0.532669 0.764102 0.888385 
0.533632 0.796015 0.771791 
0.576184 0.812555 0.745777 
0.496272 0.808967 0.716863 
0.468569 0.748804 0.667083 
0.591778 0.760721 0.759757 
0.720859 0.785215 0.759188 
0.724013 0.762407 0.711778 
0.681468 0.756361 0.735816 
0.718985 0.726436 0.713534 
0.719997 0.666924 0.707173 
0.696892 0.607724 0.756553 
0.698587 0.674287 0.653628 
0.73151 0.786259 0.719511 
0.789545 0.757346 0.762236 
0.79486 0.763085 0.785325 
0.690828 0.617509 0.702463 
0.575574 0.430435 0.63492 
0.46114 0.355737 0.570076 
0.538755 0.314441 0.506077 
0.479599 0.278263 0.395724 
0.487835 0.282098 0.26098 
0.47031 0.279089 0.222742 
0.497094 0.297891 0.236994 
0.370722 0.380235 0.294749 
0.294493 0.556212 0.417569 
0.339683 0.625811 0.509605 
0.442278 0.586361 0.51027 
0.539552 0.623023 0.608854 
0.598674 0.598074 0.630364 
0.594351 0.510658 0.606758 
0.525948 0.464354 0.504072 
0.454282 0.335306 0.37025 
0.323695 0.449911 0.328352 
0.253107 0.416936 0.471445 
0.242449 0.331755 0.502535 
0.193277 0.391127 0.496214 
0.0968761 0.269915 0.422839 
0.0899675 0.476439 0.352145 
0.129411 0.443107 NaN 
0.113096 NaN NaN 
0.202871 NaN NaN 
