elmo.2005 elmo.2008 elmo.2012 
0.000863494 NaN NaN 
0.000806016 0.000783659 NaN 
0.00071787 0.000772914 0.000828873 
0.000732647 0.000764799 0.000836644 
0.000735198 0.000757646 0.00082107 
0.000737978 0.000736356 0.000806032 
0.000830153 0.000744443 0.000835267 
0.000869784 0.000766605 0.000921533 
0.000894487 0.000776927 0.000906263 
0.000997526 0.000801857 0.000835089 
0.00109138 0.000863659 0.000818807 
0.00106095 0.000779463 0.000850135 
0.000984455 0.000772022 0.000860543 
0.000962687 0.000774137 0.000825955 
0.000988211 0.000769379 0.000815734 
0.000946441 0.000760741 0.000820378 
0.000899882 0.000725531 0.000803257 
0.00096012 0.000727135 0.000808982 
0.00103833 0.00075182 0.000811494 
0.000938853 0.000750464 0.000809268 
0.000798332 0.000739642 0.000787456 
0.000765874 0.000734047 0.000777147 
0.000776076 0.000726608 0.000774023 
0.000802039 0.000732775 0.000769942 
0.000811589 0.000739545 0.000761482 
0.000794912 0.000740468 0.000753582 
0.000778986 0.000727143 0.000742978 
0.000746464 0.000721002 0.000727705 
0.000741453 0.000716409 0.000735859 
0.000739198 0.000707557 0.000726191 
0.000724481 0.000711009 0.000719315 
0.000718532 0.000720679 0.000717495 
0.000724596 0.000718582 0.000720869 
0.000730204 0.000713881 0.000723803 
0.000725308 0.000708165 0.000722985 
0.000723802 0.000710113 0.000724969 
0.000723211 0.000706626 0.000730028 
0.000719014 0.000706515 0.000734782 
0.000722302 0.000702929 0.000720374 
0.000723873 0.000698339 0.000713685 
0.000725203 0.000701382 0.000701626 
0.000722576 0.000704272 0.000695384 
0.000720328 0.000707774 0.000710018 
0.000722063 0.000703696 0.000715382 
0.000721353 0.000703212 0.000715184 
0.000719415 0.000701924 0.000715247 
0.000723095 0.000704657 0.000715688 
0.000730418 0.000723801 0.000712768 
0.000731747 0.000727867 0.000711187 
0.000741163 0.000731505 0.000709571 
0.000757255 0.000723246 0.000701805 
0.000773287 0.000712608 0.000699597 
0.000790777 0.000706459 0.000706529 
0.000801293 0.000708027 0.000711742 
0.000796552 0.000707312 0.000724344 
0.000798208 0.000705236 NaN 
0.000805095 NaN NaN 
0.000801052 NaN NaN 
