elmo.2005 elmo.2008 elmo.2012 
0.000868367 NaN NaN 
0.000422279 0.000820896 NaN 
0.000726954 0.000768687 0.000603516 
0.000880945 0.000746141 0.000675879 
0.000948282 0.000819716 0.000986707 
0.000826245 0.000867249 0.000972565 
0.000822295 0.000916659 0.000935233 
0.000854023 0.000968612 0.000904091 
0.000830697 0.000996429 0.000817471 
0.000828609 0.000874742 0.000760819 
0.000723333 0.000905188 0.000757013 
0.000671574 0.000903028 0.000735672 
0.000775911 0.000694382 0.000804983 
0.0010122 0.00063692 0.000760455 
0.00114 0.000565268 0.000815785 
0.000973311 0.00102922 0.000851918 
0.00097242 0.00102176 0.000809355 
0.000831558 0.00104363 0.000840598 
0.000790594 0.000954569 0.000621956 
0.000809472 0.000981965 0.000706601 
0.000934035 0.000706435 0.000669917 
-0.000437821 0.000225715 0.000449181 
-0.000518729 0.000443056 0.000873691 
0.000558949 0.000748414 0.000932115 
0.000802386 0.00103464 0.000969127 
0.000808451 0.000726465 0.000936437 
0.000796095 0.000906986 0.00086773 
0.000813004 0.000928295 0.0009365 
0.000887496 0.000922362 0.000965207 
0.000891989 0.000866543 0.000917998 
0.000743986 0.000840633 0.000826756 
0.000740962 0.00079863 0.00086327 
0.000775233 0.000834779 0.000861548 
0.000829761 0.000793766 0.000730816 
0.000866104 0.000834959 0.000836531 
0.000867947 0.000914425 0.000856969 
0.000759197 0.000834789 0.000804586 
0.000807629 0.000805753 0.000896293 
0.000785034 0.000815227 0.000834564 
0.000854942 0.000788147 0.000878352 
0.000799765 0.000744685 0.000764977 
0.000757608 0.000733263 0.000759169 
0.000822717 0.000816943 0.000801394 
0.00080976 0.000799205 0.000825172 
0.000773801 0.000843304 0.000810409 
0.000763708 0.000846767 0.000842323 
NaN 0.000891434 0.00104298 
NaN 0.000895189 0.000890493 
NaN 0.000975096 0.000897845 
NaN 0.00086685 0.000915273 
NaN NaN 0.000888029 
