elmo.2005 elmo.2008 elmo.2012 
0.00072562 NaN NaN 
0.000296857 0.000671865 NaN 
0.000605147 0.00060683 0.000435984 
0.00074394 0.00067883 0.000487466 
0.000817199 0.000754663 0.000863552 
0.000677279 0.000715062 0.000855476 
0.000616898 0.000703979 0.000818205 
0.000610131 0.000718451 0.000676988 
0.000573851 0.000723719 0.000529031 
0.000604464 0.000642541 0.000431213 
0.000517166 0.000664168 0.000460024 
0.000491451 0.000697789 0.000521205 
0.000594534 0.000531611 0.000598929 
0.000820004 0.000473836 0.000605826 
0.00094584 0.000390511 0.000624207 
0.000785609 0.000747882 0.000684675 
0.000746119 0.000777825 0.000640466 
0.000612062 0.000735206 0.00061216 
0.000526252 0.000579309 0.000312311 
0.000477183 0.000563609 0.000402223 
0.000536535 0.000275297 0.000337691 
-0.000861319 -0.00021629 3.65984e-05 
-0.000931197 1.51803e-05 0.000572143 
0.000228229 0.000314663 0.00054696 
0.000499071 0.000558549 0.00058428 
0.000508046 0.000392697 0.000608504 
0.000490141 0.000580727 0.000540665 
0.000533988 0.000562024 0.000580733 
0.000682325 0.000526894 0.000546183 
0.000617435 0.000500403 0.000522384 
0.000525532 0.000501358 0.000451944 
0.000558351 0.0003768 0.0004523 
0.000526399 0.000394688 0.000515426 
0.000567475 0.000487905 0.000469389 
0.00053943 0.000520797 0.00053788 
0.00056084 0.00055657 0.000661063 
0.000560848 0.000674159 0.000642706 
0.000676628 0.000672891 0.000547158 
0.000634958 0.000646644 0.000587641 
0.000718372 0.000589062 0.00045612 
0.000560755 0.000547433 0.000532644 
0.000543466 0.000555952 0.000468132 
0.000668158 0.000482355 0.000442156 
0.000554158 0.000635981 0.000427698 
0.000522963 0.000367423 0.000431653 
0.000564098 0.000436947 0.000528053 
NaN 0.000626736 0.000809305 
NaN 0.000547144 0.000623316 
NaN 0.000710058 0.00079724 
NaN 0.0006699 0.000733903 
NaN NaN 0.000727784 
