elmo.2005 elmo.2008 elmo.2012 
0.635822 NaN NaN 
0.782453 NaN 0.360527 
0.76023 NaN 0.526248 
0.79344 NaN 0.578802 
0.708084 NaN 0.635936 
0.521964 0.460791 0.687155 
0.509516 0.365936 0.709202 
0.539611 0.287831 0.514578 
0.505107 0.303352 0.444326 
0.456834 0.348108 0.49416 
0.43124 0.363359 0.310989 
0.400975 0.411988 0.148583 
0.241667 0.430501 0.212413 
0.234495 0.33628 0.308188 
0.284719 0.331333 0.408064 
0.312875 0.340446 0.438778 
0.418549 0.323594 0.405652 
0.533077 0.411737 0.337315 
0.454224 0.450712 0.388693 
0.396654 0.424848 0.492003 
0.380554 0.365379 0.426552 
0.323268 0.3492 0.339237 
0.309015 0.347517 0.251789 
0.317171 0.405016 0.13025 
0.382268 0.491679 0.190081 
0.441911 0.609403 0.312387 
0.578957 0.670477 0.390215 
0.542622 0.661179 0.512387 
0.620187 0.603908 0.661704 
0.650438 0.438774 0.609314 
0.620503 0.350664 0.576664 
0.472271 0.398803 0.475532 
0.268059 0.441018 0.334573 
0.32473 0.410816 0.327891 
0.308706 0.441633 0.303424 
0.23377 0.461714 0.272771 
0.252225 0.45725 0.30802 
0.367303 0.345904 0.335752 
0.437332 0.441256 0.317096 
NaN 0.452817 NaN 
NaN 0.375125 NaN 
NaN 0.426768 NaN 
NaN 0.483238 NaN 
