elmo.2005 elmo.2008 elmo.2012 
0.000788239 NaN NaN 
0.000770822 NaN 0.000763672 
0.000766342 NaN 0.0007573 
0.00076422 NaN 0.000753759 
0.000761301 NaN 0.000751117 
0.000766506 0.000708937 0.000741245 
0.000775376 0.000720747 0.000729773 
0.000772086 0.000739722 0.000730704 
0.000759463 0.000757042 0.00072079 
0.000757269 0.000765154 0.000711243 
0.00073841 0.00076541 0.000705557 
0.000727393 0.000765022 0.000702447 
0.000716734 0.000756109 0.000701891 
0.000712948 0.00073455 0.000712594 
0.000698481 0.000722984 0.000718656 
0.000695678 0.000724365 0.000726421 
0.00070179 0.000733315 0.000738024 
0.000709197 0.000734376 0.000760066 
0.000722699 0.00073906 0.000758349 
0.000736757 0.000762771 0.000757339 
0.000760354 0.000778888 0.000768092 
0.000766922 0.000777359 0.00076767 
0.000762174 0.000794108 0.000776898 
0.000759981 0.000801756 0.000775177 
0.000774211 0.000803027 0.000785472 
0.000789908 0.00080208 0.000795549 
0.000807897 0.000799155 0.000803091 
0.000822021 0.000797164 0.000809783 
0.000823547 0.000791075 0.000808735 
0.000805853 0.000804501 0.000803486 
0.000789278 0.000814565 0.000810586 
0.000786676 0.000814387 0.000828672 
0.000787586 0.000827982 0.000845126 
0.000795672 0.000840389 0.000861583 
0.000810313 0.000837293 0.000893261 
0.000824754 0.000831038 0.000920648 
0.000840346 0.000829559 0.000917565 
0.000858684 0.000823401 0.000895974 
0.000874533 0.000818685 0.000874212 
NaN 0.000817947 NaN 
NaN 0.000817569 NaN 
NaN 0.000817218 NaN 
NaN 0.000819552 NaN 
