elmo.2005 elmo.2008 elmo.2012 
NaN 0.00132702 NaN 
NaN 0.0011807 0.001038 
0.00107899 0.00112922 0.000972104 
0.00106322 0.00113336 0.00100903 
0.00127547 0.00103191 0.001038 
0.001266 0.000939604 0.00109142 
0.00110811 0.000894408 0.000886376 
0.000980577 0.00103392 0.000939193 
0.000885034 0.00103259 0.000928989 
0.000925116 0.00103919 0.00091663 
0.00100663 0.00102133 0.00100181 
0.00105413 0.00114925 0.00112437 
0.00117231 0.00119035 0.00108946 
0.00124878 0.00127254 0.00104741 
0.00113507 0.00126033 0.001199 
0.00111997 0.00125419 0.00117673 
0.00108922 0.00125363 0.00109205 
0.00108174 0.00118248 0.00112399 
0.00106737 0.00100383 0.00114833 
0.000949095 0.00106026 0.00109628 
0.000907213 0.0010395 0.00125429 
0.0010831 0.00113332 0.00125385 
0.00126625 0.00109181 0.00122193 
0.00139941 0.00123141 0.0011667 
0.00148995 0.00149331 0.00129937 
0.00164372 0.00153067 0.00149605 
0.00153551 0.00149103 0.00147293 
0.00143136 0.00124653 0.00158548 
0.00133517 0.00134378 0.00164795 
0.00121511 0.00123525 0.00163765 
0.000910728 0.00111399 0.00153631 
0.00102891 0.00127849 0.00140335 
0.00115451 0.00124376 0.00127888 
0.00110547 0.00133825 0.00144273 
0.0013697 0.00153556 0.00154961 
0.00141801 0.00144113 0.00152776 
0.00146486 0.00138974 0.00148811 
0.00137792 0.00143669 0.00144135 
0.00138798 0.00132979 0.00137492 
0.00139173 0.00124965 0.00134013 
0.00133709 0.00130166 0.00140425 
0.00108435 0.00122693 0.00137304 
0.000897984 0.00119563 0.00120921 
0.00116901 0.000891289 0.00113876 
0.00126654 0.00128499 0.00108997 
NaN 0.00137441 NaN 
NaN 0.00123203 NaN 
NaN 0.00123432 NaN 
NaN 0.00114965 NaN 
