elmo.2005 elmo.2008 elmo.2012 
NaN 0.00108465 NaN 
NaN 0.00107777 0.00103776 
0.00108795 0.00107062 0.00103621 
0.00108633 0.00106209 0.00103857 
0.00108278 0.00104943 0.00105073 
0.0010765 0.00103627 0.00106077 
0.00106285 0.00102526 0.00106016 
0.00103995 0.00102868 0.00106346 
0.00101798 0.00103047 0.00105866 
0.00100332 0.00103643 0.00104176 
0.000994306 0.00104027 0.00102891 
0.000998072 0.00104397 0.00103634 
0.00102677 0.00106278 0.00104561 
0.00106858 0.00111723 0.0010745 
0.00111912 0.00117277 0.00113658 
0.0011601 0.0011919 0.00116138 
0.0011744 0.00118988 0.00116351 
0.00115309 0.00116156 0.00114779 
0.00112441 0.00110556 0.00113753 
0.0010907 0.00109953 0.00112149 
0.00107523 0.0010962 0.00110689 
0.00110663 0.00117407 0.00111737 
0.00116275 0.00126557 0.00114763 
0.00123025 0.00136062 0.00118765 
0.00129958 0.00140409 0.00125632 
0.00132995 0.00138652 0.0013051 
0.00134498 0.00136816 0.00134348 
0.00135001 0.00131062 0.00136893 
0.00132485 0.00129476 0.00138806 
0.00128115 0.00125217 0.00140906 
0.0012413 0.00121791 0.00141344 
0.00123312 0.00122423 0.00140347 
0.00127101 0.00128064 0.00138855 
0.00130746 0.00132377 0.00140555 
0.00136536 0.00140391 0.00141104 
0.00140761 0.00139355 0.00141478 
0.00143534 0.00139718 0.00139563 
0.00144311 0.0013905 0.00136135 
0.00139981 0.00134903 0.00131577 
0.00136332 0.0012967 0.00127353 
0.00131272 0.00125176 0.00125622 
0.00125841 0.00122894 0.00122927 
0.00121044 0.00123495 0.00119368 
0.00123112 0.00121216 0.00115797 
0.00126082 0.00123025 0.00112408 
NaN 0.00126148 NaN 
NaN 0.00127786 NaN 
NaN 0.00132843 NaN 
NaN 0.00133033 NaN 
