elmo.2005 elmo.2008 elmo.2012 
NaN 0.000799338 NaN 
NaN 0.000833551 0.000913633 
0.00080608 0.000888715 0.000730904 
0.000867663 0.00085797 0.000654736 
0.000824075 0.000651096 0.000645859 
0.000770178 0.000562564 0.0006796 
0.000671102 0.00063667 0.000590174 
0.000690114 0.000688409 0.000688893 
0.000688934 0.000660143 0.000706227 
0.00067035 0.000681967 0.000680858 
0.000686161 0.000685853 0.000682854 
0.000710938 0.000728061 0.00069832 
0.000754724 0.000731349 0.000707831 
0.000761066 0.000737806 0.000672189 
0.000665521 0.000698008 0.000656505 
0.0006611 0.000710402 0.000683793 
0.00069296 0.000770187 0.000713864 
0.000736548 0.000782472 0.000753496 
0.00074815 0.000736364 0.000755254 
0.000747279 0.000747483 0.000738101 
0.000743707 0.000827943 0.000778357 
0.000741045 0.000901469 0.000812125 
0.000733484 0.000818062 0.000745723 
0.000734324 0.000786578 0.000712886 
0.000777972 0.000805146 0.000842341 
0.000894214 0.000793027 0.000876769 
0.000891873 0.00082611 0.000846621 
0.000794096 0.000809442 0.000910163 
0.000784409 0.000778358 0.000929557 
0.000801385 0.000857717 0.000929481 
0.000739188 0.000836539 0.000820588 
0.000744391 0.000838579 0.000791984 
0.000779365 0.000778964 0.000907021 
0.000740531 0.000814918 0.00083432 
0.000822194 0.000888126 0.000799922 
0.000718969 0.000804817 0.000777329 
0.000697635 0.000754204 0.000779472 
0.000644739 0.000824595 0.000780063 
0.000674139 0.000760903 0.000813966 
0.000759696 0.000709646 0.000841788 
0.000825068 0.000870176 0.000793351 
0.000800621 0.00079936 0.000787558 
0.000692174 0.000765063 0.000777852 
0.000775566 0.000495805 0.000867915 
0.000893283 0.000744559 0.000816838 
NaN 0.000762777 NaN 
NaN 0.000803976 NaN 
NaN 0.00080247 NaN 
NaN 0.000981404 NaN 
