elmo.2005 elmo.2008 elmo.2012 
NaN 0.409064 NaN 
NaN 0.419243 NaN 
NaN 0.436054 NaN 
NaN 0.439087 NaN 
NaN 0.44617 NaN 
NaN 0.451204 NaN 
NaN 0.455317 0.42334 
0.368122 0.435391 0.434333 
0.373749 0.397958 0.436582 
0.3746 0.369004 0.438772 
0.368825 0.375031 0.441833 
0.346818 0.395696 0.445546 
0.333777 0.409258 0.438877 
0.318572 0.431752 0.428779 
0.309789 0.431844 0.416752 
0.323617 0.423036 0.417983 
0.352262 0.435334 0.412718 
0.370773 0.461426 0.429876 
0.374512 0.498675 0.458157 
0.382613 0.543479 0.46895 
0.428819 0.572139 0.464959 
0.493383 0.611876 0.495612 
0.545664 0.64213 0.510549 
0.572892 0.620902 0.528211 
0.582267 0.583698 0.531727 
0.554915 0.562695 0.507526 
0.468637 0.546909 0.504617 
0.386286 0.550763 0.509329 
0.313877 0.557127 0.508703 
0.287694 0.539796 0.506986 
0.267905 0.489606 0.475577 
0.259101 0.401811 0.42295 
0.255595 0.366613 0.405318 
0.266482 0.389553 0.416667 
0.29594 0.409079 0.437408 
0.319579 0.41825 0.448274 
0.320091 0.417522 0.437229 
0.363741 0.422489 0.4319 
0.413687 0.418671 0.434335 
0.417443 0.423251 0.444735 
0.401778 0.45313 0.459919 
0.405388 0.472861 0.473812 
0.402678 0.470043 0.488967 
0.397279 0.456137 0.489983 
0.391459 0.445587 0.485064 
0.374432 0.454472 0.474696 
0.344178 0.450082 0.46164 
0.325171 0.450137 0.457329 
0.316159 NaN 0.454041 
0.322865 NaN NaN 
0.33426 NaN NaN 
